locus_tag	ftype	length_bp	gene	EC_number	COG	product
Rumen_CACVNT01.fna_00001	CDS	1761				AMP-dependent synthetase and ligase
Rumen_CACVNT01.fna_00002	CDS	762				ABC transporter ATP-binding protein
Rumen_CACVNT01.fna_00003	CDS	2517				hypothetical protein
Rumen_CACVNT01.fna_00004	CDS	1926				Beta-lactamase class C domain (PBPX family) containing protein
Rumen_CACVNT01.fna_00005	CDS	738				two component transcriptional regulator, winged helix family
Rumen_CACVNT01.fna_00006	CDS	1275				histidine kinase
Rumen_CACVNT01.fna_00007	CDS	2544				glycoside hydrolase
Rumen_CACVNT01.fna_00008	CDS	369				transcriptional regulator, GntR family
Rumen_CACVNT01.fna_00009	CDS	930				ABC-type multidrug transport system, ATPase component
Rumen_CACVNT01.fna_00010	CDS	2346				hypothetical protein
Rumen_CACVNT01.fna_00011	CDS	207				hypothetical protein
Rumen_CACVNT01.fna_00012	CDS	2385				hypothetical protein
Rumen_CACVNT01.fna_00013	CDS	3672				Endo-1,4-beta-xylanase 
Rumen_CACVNT01.fna_00014	CDS	657				N-acetyltransferase GCN5
Rumen_CACVNT01.fna_00015	CDS	3231				Ig-like domain-containing surface protein
Rumen_CACVNT01.fna_00016	CDS	459				transcriptional regulator
Rumen_CACVNT01.fna_00017	CDS	1020				phosphate acetyltransferase
Rumen_CACVNT01.fna_00018	CDS	1650				hypothetical protein
Rumen_CACVNT01.fna_00019	CDS	705				RNA polymerase, sigma-24 subunit, ECF subfamily
Rumen_CACVNT01.fna_00020	CDS	840				hypothetical protein
Rumen_CACVNT01.fna_00021	CDS	1200				acetate kinase 
Rumen_CACVNT01.fna_00022	CDS	1194				putative nucleotidyltransferase
Rumen_CACVNT01.fna_00023	CDS	648				haloacid dehalogenase superfamily, subfamily IA, variant 3 with third motif having DD or ED/haloacid dehalogenase superfamily, subfamily IA, variant 1 with third motif having Dx(3-4)D or Dx(3-4)E
Rumen_CACVNT01.fna_00024	CDS	1113				tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase 
Rumen_CACVNT01.fna_00025	CDS	1014				nicotinamidase-like amidase
Rumen_CACVNT01.fna_00026	CDS	723				putative O-methyltransferase
Rumen_CACVNT01.fna_00027	CDS	825				hypothetical protein
Rumen_CACVNT01.fna_00028	CDS	846				putative metal-dependent phosphoesterases (PHP family)
Rumen_CACVNT01.fna_00029	CDS	762				hypothetical protein
Rumen_CACVNT01.fna_00030	CDS	219				hypothetical protein
Rumen_CACVNT01.fna_00031	CDS	2394				Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II
Rumen_CACVNT01.fna_00032	CDS	96				AMP-dependent synthetase and ligase
Rumen_CACVNT01.fna_00033	CDS	3258				Cysteine protease
Rumen_CACVNT01.fna_00034	CDS	1473				hypothetical protein
Rumen_CACVNT01.fna_00035	CDS	1053				ABC-type sugar transport systems, permease components
Rumen_CACVNT01.fna_00036	CDS	900				ABC-type sugar transport system, permease component
Rumen_CACVNT01.fna_00037	CDS	921				stage III sporulation protein AA
Rumen_CACVNT01.fna_00038	CDS	504				stage III sporulation protein AB
Rumen_CACVNT01.fna_00039	CDS	198				stage III sporulation protein AC
Rumen_CACVNT01.fna_00040	CDS	390				Stage III sporulation protein AC/AD protein family.
Rumen_CACVNT01.fna_00041	CDS	1095				Stage III sporulation protein AE (spore_III_AE).
Rumen_CACVNT01.fna_00042	CDS	459				hypothetical protein
Rumen_CACVNT01.fna_00043	CDS	525				hypothetical protein
Rumen_CACVNT01.fna_00044	CDS	555				hypothetical protein
Rumen_CACVNT01.fna_00045	CDS	342				hypothetical protein
Rumen_CACVNT01.fna_00046	CDS	432				histone acetyltransferase HPA2
Rumen_CACVNT01.fna_00047	CDS	417				transcription antitermination factor NusB
Rumen_CACVNT01.fna_00048	CDS	948				peptidase M22 glycoprotease
Rumen_CACVNT01.fna_00049	CDS	1191				exodeoxyribonuclease VII, large subunit 
Rumen_CACVNT01.fna_00050	CDS	198				Exodeoxyribonuclease VII small subunit 
Rumen_CACVNT01.fna_00051	CDS	891				farnesyl-diphosphate synthase 
Rumen_CACVNT01.fna_00052	CDS	1899				1-deoxy-D-xylulose-5-phosphate synthase 
Rumen_CACVNT01.fna_00053	CDS	786				hemolysin A
Rumen_CACVNT01.fna_00054	CDS	855				putative sugar kinase 
Rumen_CACVNT01.fna_00055	CDS	444				transcriptional regulator, ArgR family
Rumen_CACVNT01.fna_00056	CDS	1662				DNA repair protein RecN
Rumen_CACVNT01.fna_00057	CDS	540				Fructose-2,6-bisphosphatase 
Rumen_CACVNT01.fna_00058	CDS	1971				beta-galactosidase 
Rumen_CACVNT01.fna_00059	CDS	435				D-tyrosyl-tRNA(Tyr) deacylase 
Rumen_CACVNT01.fna_00060	CDS	1611				Cell division protein FtsI/penicillin-binding protein 2 
Rumen_CACVNT01.fna_00061	CDS	2631				alanyl-tRNA synthetase 
Rumen_CACVNT01.fna_00062	CDS	354				Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases
Rumen_CACVNT01.fna_00063	CDS	540				phosphoribosyltransferase
Rumen_CACVNT01.fna_00064	CDS	2037				ComEC/Rec2-like protein
Rumen_CACVNT01.fna_00065	CDS	1083				DNA polymerase III, delta subunit
Rumen_CACVNT01.fna_00066	CDS	600				RNAse M5 
Rumen_CACVNT01.fna_00067	CDS	1380				putative membrane protein involved in D-alanine export
Rumen_CACVNT01.fna_00068	CDS	1137				hypothetical protein
Rumen_CACVNT01.fna_00069	CDS	780				Short-chain dehydrogenases of various substrate specificities
Rumen_CACVNT01.fna_00070	CDS	540				hypothetical protein
Rumen_CACVNT01.fna_00071	CDS	678				5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase 
Rumen_CACVNT01.fna_00072	CDS	909				hypothetical protein
Rumen_CACVNT01.fna_00073	CDS	1590				SSS sodium solute transporter superfamily protein
Rumen_CACVNT01.fna_00074	CDS	456				acetyltransferase
Rumen_CACVNT01.fna_00075	tRNA	85				tRNA-Leu(taa)
Rumen_CACVNT01.fna_00076	tRNA	77				tRNA-Pro(cgg)
Rumen_CACVNT01.fna_00077	CDS	2364				peptidase C11 clostripain
Rumen_CACVNT01.fna_00078	CDS	2754				Ricin B lectin
Rumen_CACVNT01.fna_00079	CDS	939				hypothetical protein
Rumen_CACVNT01.fna_00080	CDS	183				hypothetical protein
Rumen_CACVNT01.fna_00081	CDS	672				winged helix family two component transcriptional regulator
Rumen_CACVNT01.fna_00082	CDS	1008				integral membrane sensor signal transduction histidine kinase
Rumen_CACVNT01.fna_00083	CDS	726				ABC transporter
Rumen_CACVNT01.fna_00084	CDS	2811				hypothetical protein
Rumen_CACVNT01.fna_00085	CDS	1323				hypothetical protein
Rumen_CACVNT01.fna_00086	CDS	627				response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain protein
Rumen_CACVNT01.fna_00087	CDS	1662				histidine kinase
Rumen_CACVNT01.fna_00088	CDS	2454				hypothetical protein
Rumen_CACVNT01.fna_00089	CDS	1050				AMP-dependent synthetase and ligase
Rumen_CACVNT01.fna_00090	CDS	1938				capsular polysaccharide biosynthesis protein
Rumen_CACVNT01.fna_00091	CDS	2886				cellulase 
Rumen_CACVNT01.fna_00092	CDS	324				TrpR-related protein YerC/YecD
