locus_tag	ftype	length_bp	gene	EC_number	COG	product
Rumen_CADBNS01.fna_00001	CDS	1257				folylpolyglutamate synthase/dihydrofolate synthase 
Rumen_CADBNS01.fna_00002	CDS	303				Stress responsive alpha-beta barrel domain-containing protein
Rumen_CADBNS01.fna_00003	CDS	540				N-acetyltransferase GCN5
Rumen_CADBNS01.fna_00004	CDS	2622				valyl-tRNA synthetase 
Rumen_CADBNS01.fna_00005	CDS	795				hypothetical protein
Rumen_CADBNS01.fna_00006	CDS	1425				pyruvate kinase 
Rumen_CADBNS01.fna_00007	CDS	2364				ATP-dependent DNA helicase PcrA 
Rumen_CADBNS01.fna_00008	CDS	1071				1-deoxy-D-xylulose 5-phosphate reductoisomerase 
Rumen_CADBNS01.fna_00009	CDS	1122				membrane-associated zinc metalloprotease
Rumen_CADBNS01.fna_00010	CDS	915				ribonuclease Z
Rumen_CADBNS01.fna_00011	CDS	1038				1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase
Rumen_CADBNS01.fna_00012	CDS	4338				DNA polymerase III catalytic subunit, PolC type 
Rumen_CADBNS01.fna_00013	CDS	1197				ATP phosphoribosyltransferase, regulatory subunit
Rumen_CADBNS01.fna_00014	CDS	630				ATP phosphoribosyltransferase 
Rumen_CADBNS01.fna_00015	CDS	1284				histidinol dehydrogenase 
Rumen_CADBNS01.fna_00016	CDS	1059				Histidinol-phosphate/aromatic aminotransferase and cobyric acid decarboxylase 
Rumen_CADBNS01.fna_00017	CDS	582				imidazoleglycerol-phosphate dehydratase 
Rumen_CADBNS01.fna_00018	CDS	603				imidazole glycerol phosphate synthase, glutamine amidotransferase subunit
Rumen_CADBNS01.fna_00019	CDS	726				phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase 
Rumen_CADBNS01.fna_00020	CDS	756				Imidazole glycerol phosphate synthase cyclase subunit
Rumen_CADBNS01.fna_00021	CDS	387				hypothetical protein
Rumen_CADBNS01.fna_00022	CDS	402				GNAT family acetyltransferase
Rumen_CADBNS01.fna_00023	CDS	348				phosphoribosyl-AMP cyclohydrolase 
Rumen_CADBNS01.fna_00024	CDS	339				phosphoribosyl-ATP pyrophosphohydrolase 
Rumen_CADBNS01.fna_00025	CDS	444				putative membrane protein
Rumen_CADBNS01.fna_00026	CDS	1152				hypothetical protein
