locus_tag	ftype	length_bp	gene	EC_number	COG	product
Rumen_CADBJG01.fna_00001	CDS	492				hypothetical protein
Rumen_CADBJG01.fna_00002	CDS	828				hypothetical protein
Rumen_CADBJG01.fna_00003	CDS	165				hypothetical protein
Rumen_CADBJG01.fna_00004	CDS	705				AzlC family protein
Rumen_CADBJG01.fna_00005	CDS	300				branched-chain amino acid transport
Rumen_CADBJG01.fna_00006	CDS	930				Beta-propeller domains of methanol dehydrogenase type
Rumen_CADBJG01.fna_00007	CDS	1068				hypothetical protein
Rumen_CADBJG01.fna_00008	CDS	1368				Citrate synthase 
Rumen_CADBJG01.fna_00009	CDS	1011				Galactose mutarotase
Rumen_CADBJG01.fna_00010	CDS	2718				fibronectin type III domain-containing protein
Rumen_CADBJG01.fna_00011	CDS	906				hypothetical protein
Rumen_CADBJG01.fna_00012	CDS	390				hypothetical protein
Rumen_CADBJG01.fna_00013	CDS	411				hypothetical protein
Rumen_CADBJG01.fna_00014	CDS	366				hypothetical protein
Rumen_CADBJG01.fna_00015	CDS	831				hypothetical protein
Rumen_CADBJG01.fna_00016	CDS	972				Phage capsid family.
Rumen_CADBJG01.fna_00017	CDS	1212				hypothetical protein
Rumen_CADBJG01.fna_00018	CDS	1245				phage terminase, large subunit, PBSX family
Rumen_CADBJG01.fna_00019	CDS	435				Terminase small subunit.
Rumen_CADBJG01.fna_00020	CDS	276				sporulation protein YabP
Rumen_CADBJG01.fna_00021	CDS	318	ftsL			Cell division protein FtsL
Rumen_CADBJG01.fna_00022	CDS	447				putative RNA binding protein (contains ribosomal protein S1 domain)
Rumen_CADBJG01.fna_00023	CDS	1473				inosine-5'-monophosphate dehydrogenase 
Rumen_CADBJG01.fna_00024	CDS	954				Fibronectin type III domain.
Rumen_CADBJG01.fna_00025	CDS	1170				Imidazolonepropionase
Rumen_CADBJG01.fna_00026	CDS	498				Shikimate kinase 
Rumen_CADBJG01.fna_00027	CDS	450				Acetyltransferase (GNAT) family. 
Rumen_CADBJG01.fna_00028	CDS	840				shikimate dehydrogenase
Rumen_CADBJG01.fna_00029	CDS	903				malonyl CoA-acyl carrier protein transacylase
Rumen_CADBJG01.fna_00030	CDS	993				3-oxoacyl-(acyl-carrier-protein) synthase III 
