locus_tag	ftype	length_bp	gene	EC_number	COG	product
Rumen_CACVSX01.fna_00001	CDS	402				hypothetical protein
Rumen_CACVSX01.fna_00002	CDS	741				endolysin
Rumen_CACVSX01.fna_00003	CDS	207				hypothetical protein
Rumen_CACVSX01.fna_00004	CDS	360				hypothetical protein
Rumen_CACVSX01.fna_00005	CDS	564				hypothetical protein
Rumen_CACVSX01.fna_00006	CDS	279				hypothetical protein
Rumen_CACVSX01.fna_00007	CDS	489				hypothetical protein
Rumen_CACVSX01.fna_00008	CDS	399				manganese containing catalase
Rumen_CACVSX01.fna_00009	CDS	366				hypothetical protein
Rumen_CACVSX01.fna_00010	CDS	789				hypothetical protein
Rumen_CACVSX01.fna_00011	CDS	477				hypothetical protein
Rumen_CACVSX01.fna_00012	CDS	432				two component transcriptional regulator
Rumen_CACVSX01.fna_00013	CDS	192				ycbL3; transcriptional regulatory protein YcbL
Rumen_CACVSX01.fna_00014	CDS	915				ABC transporter-like protein
Rumen_CACVSX01.fna_00015	CDS	741				hypothetical protein
Rumen_CACVSX01.fna_00016	CDS	897				histidine kinase
Rumen_CACVSX01.fna_00017	CDS	618				regulatory protein TetR
Rumen_CACVSX01.fna_00018	CDS	1038				aldo/keto reductase
Rumen_CACVSX01.fna_00019	CDS	864				Aldo/keto reductases, related to diketogulonate reductase
Rumen_CACVSX01.fna_00020	CDS	777				2,5-didehydrogluconate reductase
Rumen_CACVSX01.fna_00021	CDS	756				carboxymuconolactone decarboxylase
Rumen_CACVSX01.fna_00022	CDS	699				hypothetical protein
Rumen_CACVSX01.fna_00023	CDS	534				NADPH-dependent FMN reductase
Rumen_CACVSX01.fna_00024	CDS	2361				hypothetical protein
Rumen_CACVSX01.fna_00025	CDS	828				ABC transporter-like protein
Rumen_CACVSX01.fna_00026	CDS	663				winged helix family two component transcriptional regulator
Rumen_CACVSX01.fna_00027	CDS	1206				integral membrane sensor signal transduction histidine kinase
Rumen_CACVSX01.fna_00028	CDS	171				hypothetical protein
Rumen_CACVSX01.fna_00029	CDS	1491				Site-specific recombinases, DNA invertase Pin homologs
Rumen_CACVSX01.fna_00030	CDS	339				hypothetical protein
Rumen_CACVSX01.fna_00031	CDS	414				lepB1; signal peptidase I LepB1 
Rumen_CACVSX01.fna_00032	CDS	4329				Cna protein B-type domain.
Rumen_CACVSX01.fna_00033	CDS	1710				Cell surface protein with gram positive anchor and Cna protein B-type domains
Rumen_CACVSX01.fna_00034	CDS	843				LPXTG-site transpeptidase (sortase) family protein
Rumen_CACVSX01.fna_00035	CDS	1113				hypothetical protein
Rumen_CACVSX01.fna_00036	CDS	1116				alanine dehydrogenase
Rumen_CACVSX01.fna_00037	CDS	1449				low affinity penicillin-binding protein 5
Rumen_CACVSX01.fna_00038	CDS	1704				peptidase S41
Rumen_CACVSX01.fna_00039	CDS	1479				penicillin-binding protein transpeptidase
Rumen_CACVSX01.fna_00040	CDS	885				srtC1; family 3 sortase
Rumen_CACVSX01.fna_00041	CDS	585				putative signal peptidase IB
Rumen_CACVSX01.fna_00042	CDS	177				hypothetical protein
Rumen_CACVSX01.fna_00043	CDS	345				hypothetical protein
Rumen_CACVSX01.fna_00044	CDS	573				signal peptidase I, bacterial type 
Rumen_CACVSX01.fna_00045	CDS	4758				fibro-slime domain-containing protein
Rumen_CACVSX01.fna_00046	CDS	1752				Cna protein B-type domain.
Rumen_CACVSX01.fna_00047	CDS	918				LPXTG-site transpeptidase (sortase) family protein
Rumen_CACVSX01.fna_00048	CDS	1050				hypothetical protein
Rumen_CACVSX01.fna_00049	CDS	903				putative cell wall binding protein
Rumen_CACVSX01.fna_00050	CDS	1908				mannan endo-1,4-beta-mannosidase 
Rumen_CACVSX01.fna_00051	CDS	2667				cellulase 
Rumen_CACVSX01.fna_00052	CDS	1833				hypothetical protein
Rumen_CACVSX01.fna_00053	CDS	657				stage II sporulation protein R
Rumen_CACVSX01.fna_00054	CDS	525				bacterial translation initiation factor 3 (bIF-3)
Rumen_CACVSX01.fna_00055	CDS	204				LSU ribosomal protein L35P
Rumen_CACVSX01.fna_00056	CDS	354				LSU ribosomal protein L20P
Rumen_CACVSX01.fna_00057	CDS	789				tRNA/rRNA methyltransferase SpoU
Rumen_CACVSX01.fna_00058	CDS	1221				DNA protecting protein DprA
Rumen_CACVSX01.fna_00059	CDS	2082				DNA topoisomerase I 
Rumen_CACVSX01.fna_00060	CDS	1317				tRNA:m(5)U-54 methyltransferase
Rumen_CACVSX01.fna_00061	CDS	1017				phosphate:acyl-[acyl carrier protein] acyltransferase
Rumen_CACVSX01.fna_00062	CDS	690				RNAse III 
Rumen_CACVSX01.fna_00063	CDS	1002				radical SAM protein
Rumen_CACVSX01.fna_00064	CDS	3573				chromosome segregation protein SMC, common bacterial type
Rumen_CACVSX01.fna_00065	CDS	1347				signal recognition particle-docking protein FtsY
Rumen_CACVSX01.fna_00066	CDS	585				non-canonical purine NTP pyrophosphatase, rdgB/HAM1 family 
Rumen_CACVSX01.fna_00067	CDS	303				hypothetical protein
Rumen_CACVSX01.fna_00068	CDS	696				NADPH-dependent FMN reductase.
Rumen_CACVSX01.fna_00069	CDS	1182				nicotinate (nicotinamide) nucleotide adenylyltransferase 
Rumen_CACVSX01.fna_00070	CDS	1509				cell envelope-related function transcriptional attenuator common domain protein
Rumen_CACVSX01.fna_00071	CDS	369				iojap-related protein
Rumen_CACVSX01.fna_00072	CDS	348				hypothetical protein
Rumen_CACVSX01.fna_00073	CDS	2406				leucyl-tRNA synthetase, eubacterial and mitochondrial family 
Rumen_CACVSX01.fna_00074	CDS	174				30S ribosomal protein S21
Rumen_CACVSX01.fna_00075	CDS	528				HAD superfamily (subfamily IIIA) phosphatase,
Rumen_CACVSX01.fna_00076	CDS	432				3-dehydroquinate dehydratase 
Rumen_CACVSX01.fna_00077	CDS	1128				hypothetical protein
Rumen_CACVSX01.fna_00078	CDS	699				hypothetical protein
Rumen_CACVSX01.fna_00079	CDS	2355				ATPases with chaperone activity, ATP-binding subunit
Rumen_CACVSX01.fna_00080	CDS	900				Colicin V production protein.
Rumen_CACVSX01.fna_00081	CDS	1173				hypothetical protein
Rumen_CACVSX01.fna_00082	CDS	765				pseudouridylate synthase I 
Rumen_CACVSX01.fna_00083	CDS	2904				putative membrane protein
Rumen_CACVSX01.fna_00084	CDS	804				ABC-type cobalt transport system, permease component CbiQ
Rumen_CACVSX01.fna_00085	CDS	864				ABC transporter-like protein
Rumen_CACVSX01.fna_00086	CDS	852				cobalt transport protein ATP-binding subunit
Rumen_CACVSX01.fna_00087	CDS	792				hypothetical protein
Rumen_CACVSX01.fna_00088	CDS	195				hypothetical protein
Rumen_CACVSX01.fna_00089	CDS	867				hypothetical protein
Rumen_CACVSX01.fna_00090	CDS	1359				phosphoglucosamine mutase 
Rumen_CACVSX01.fna_00091	CDS	399				hypothetical protein
Rumen_CACVSX01.fna_00092	CDS	531				hypothetical protein
Rumen_CACVSX01.fna_00093	CDS	1059				Holliday junction DNA helicase, RuvB subunit
Rumen_CACVSX01.fna_00094	CDS	735				SseB protein.
Rumen_CACVSX01.fna_00095	CDS	624				Holliday junction DNA helicase subunit RuvA
Rumen_CACVSX01.fna_00096	CDS	519				crossover junction endodeoxyribonuclease RuvC 
Rumen_CACVSX01.fna_00097	CDS	1116				Prephenate dehydratase 
Rumen_CACVSX01.fna_00098	CDS	2376				homocysteine S-methyltransferase
Rumen_CACVSX01.fna_00099	CDS	435				hypothetical protein
Rumen_CACVSX01.fna_00100	CDS	945				putative protease of the Abi (CAAX) family protein
Rumen_CACVSX01.fna_00101	CDS	1161				group 1 glycosyl transferase
Rumen_CACVSX01.fna_00102	CDS	987				glycosyl transferase
Rumen_CACVSX01.fna_00103	CDS	2466				hypothetical protein
Rumen_CACVSX01.fna_00104	CDS	1179				hexosyltransferase
Rumen_CACVSX01.fna_00105	CDS	1212				glycosyltransferase
Rumen_CACVSX01.fna_00106	CDS	1083				Glycosyltransferase
Rumen_CACVSX01.fna_00107	CDS	459				hypothetical protein
Rumen_CACVSX01.fna_00108	CDS	1062				metW; Methionine biosynthesis protein MetW
Rumen_CACVSX01.fna_00109	CDS	1236				lipopolysaccharide transport system ATP-binding protein
Rumen_CACVSX01.fna_00110	CDS	777				lipopolysaccharide transport system permease
Rumen_CACVSX01.fna_00111	CDS	474				hypothetical protein
Rumen_CACVSX01.fna_00112	CDS	786				Metal-dependent hydrolases of the beta-lactamase superfamily I
Rumen_CACVSX01.fna_00113	CDS	1422				cysteinyl-tRNA synthetase 
Rumen_CACVSX01.fna_00114	CDS	369				hypothetical protein
Rumen_CACVSX01.fna_00115	CDS	378				hypothetical protein
Rumen_CACVSX01.fna_00116	CDS	1902				Molecular chaperone, HSP90 family
Rumen_CACVSX01.fna_00117	CDS	387				Mn-dependent transcriptional regulator
Rumen_CACVSX01.fna_00118	CDS	585				CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase 
Rumen_CACVSX01.fna_00119	CDS	1332				SSU ribosomal protein S12P methylthiotransferase 
Rumen_CACVSX01.fna_00120	CDS	642				hypothetical protein
Rumen_CACVSX01.fna_00121	CDS	1191				RecA protein
Rumen_CACVSX01.fna_00122	CDS	867				protein-(glutamine-N5) methyltransferase
Rumen_CACVSX01.fna_00123	CDS	1014				putative metal-dependent enzyme
Rumen_CACVSX01.fna_00124	CDS	1404				Signal transduction histidine kinase
Rumen_CACVSX01.fna_00125	CDS	702				winged helix family two component transcriptional regulator
Rumen_CACVSX01.fna_00126	CDS	1338				hypothetical protein
Rumen_CACVSX01.fna_00127	CDS	1362				Citrate synthase 
Rumen_CACVSX01.fna_00128	CDS	1023				stage II sporulation protein D
Rumen_CACVSX01.fna_00129	CDS	1389				exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase
Rumen_CACVSX01.fna_00130	CDS	1065				Mannose-1-phosphate guanylyltransferase 
Rumen_CACVSX01.fna_00131	CDS	1038				GDP-mannose 4,6-dehydratase 
Rumen_CACVSX01.fna_00132	CDS	273				hypothetical protein
Rumen_CACVSX01.fna_00133	CDS	513				hypothetical protein
Rumen_CACVSX01.fna_00134	CDS	1152				group 1 glycosyl transferase
Rumen_CACVSX01.fna_00135	CDS	1125				Glycosyltransferase
Rumen_CACVSX01.fna_00136	CDS	936				GDP-D-mannose dehydratase 
Rumen_CACVSX01.fna_00137	CDS	336				hypothetical protein
Rumen_CACVSX01.fna_00138	CDS	723				ATP synthase F0 subcomplex A subunit 
Rumen_CACVSX01.fna_00139	CDS	228				hypothetical protein
Rumen_CACVSX01.fna_00140	CDS	228				hypothetical protein
Rumen_CACVSX01.fna_00141	CDS	489				atpF; ATP synthase F0 subunit B 
Rumen_CACVSX01.fna_00142	CDS	2031				ATP synthase
