locus_tag	ftype	length_bp	gene	EC_number	COG	product
Rumen_CACZLS01.fna_00001	CDS	1056				putative nlpa lipoprotein
Rumen_CACZLS01.fna_00002	CDS	456				BadM/Rrf2 family transcriptional regulator
Rumen_CACZLS01.fna_00003	CDS	918				fibronectin type III domain-containing protein
Rumen_CACZLS01.fna_00004	CDS	135				hypothetical protein
Rumen_CACZLS01.fna_00005	CDS	495				Acetyltransferases
Rumen_CACZLS01.fna_00006	CDS	756				Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 1
Rumen_CACZLS01.fna_00007	CDS	246				hypothetical protein
Rumen_CACZLS01.fna_00008	CDS	1383				glutamylcysteine synthetase
Rumen_CACZLS01.fna_00009	CDS	1146				glutamate--cysteine ligase
Rumen_CACZLS01.fna_00010	CDS	759				glutamine amidotransferase
Rumen_CACZLS01.fna_00011	CDS	450				hypothetical protein
Rumen_CACZLS01.fna_00012	CDS	210				hypothetical protein
Rumen_CACZLS01.fna_00013	CDS	507				S-adenosylmethionine synthetase 
Rumen_CACZLS01.fna_00014	CDS	522				Os01g0323775; Hypothetical protein.
Rumen_CACZLS01.fna_00015	CDS	204				excisionase family DNA-binding domain-containing protein
Rumen_CACZLS01.fna_00016	CDS	609				DNA primase (bacterial type)
Rumen_CACZLS01.fna_00017	CDS	651				orotate phosphoribosyltransferase 
Rumen_CACZLS01.fna_00018	CDS	345				hypothetical protein
Rumen_CACZLS01.fna_00019	CDS	855				Lysophospholipase L1
Rumen_CACZLS01.fna_00020	CDS	2340				ribonucleoside-triphosphate reductase class III catalytic subunit 
Rumen_CACZLS01.fna_00021	CDS	501				ribonucleoside-triphosphate reductase class III activase subunit 
Rumen_CACZLS01.fna_00022	CDS	1368				efflux protein
Rumen_CACZLS01.fna_00023	CDS	609				shikimate kinase
Rumen_CACZLS01.fna_00024	CDS	1245				hypothetical protein
Rumen_CACZLS01.fna_00025	CDS	303				hypothetical protein
Rumen_CACZLS01.fna_00026	CDS	987				Site-specific recombinase XerD
Rumen_CACZLS01.fna_00027	CDS	516				ADP-ribose pyrophosphatase
Rumen_CACZLS01.fna_00028	CDS	1044				3-dehydroquinate synthase 
Rumen_CACZLS01.fna_00029	CDS	1227				3-phosphoshikimate 1-carboxyvinyltransferase 
Rumen_CACZLS01.fna_00030	CDS	1044				chorismate synthase 
Rumen_CACZLS01.fna_00031	CDS	594				hypothetical protein
Rumen_CACZLS01.fna_00032	CDS	180				hypothetical protein
Rumen_CACZLS01.fna_00033	CDS	342				hypothetical protein
Rumen_CACZLS01.fna_00034	CDS	843				hypothetical protein
Rumen_CACZLS01.fna_00035	CDS	1257				serine hydroxymethyltransferase 
Rumen_CACZLS01.fna_00036	CDS	390				hypothetical protein
Rumen_CACZLS01.fna_00037	CDS	366				hypothetical protein
Rumen_CACZLS01.fna_00038	CDS	1272				AAA ATPase
Rumen_CACZLS01.fna_00039	CDS	318				hypothetical protein
Rumen_CACZLS01.fna_00040	CDS	873				EDD domain protein, DegV family
Rumen_CACZLS01.fna_00041	CDS	498				rRNA methylase, putative, group 2 
Rumen_CACZLS01.fna_00042	CDS	1329				Cysteine protease
Rumen_CACZLS01.fna_00043	CDS	174				hypothetical protein
Rumen_CACZLS01.fna_00044	CDS	432				hypothetical protein
Rumen_CACZLS01.fna_00045	CDS	180				hypothetical protein
Rumen_CACZLS01.fna_00046	CDS	912				dihydroorotate oxidase B, catalytic subunit 
Rumen_CACZLS01.fna_00047	CDS	771				2-polyprenylphenol hydroxylase oxidoreductases
Rumen_CACZLS01.fna_00048	CDS	1113				hypothetical protein
Rumen_CACZLS01.fna_00049	CDS	774				Fibronectin type III domain.
Rumen_CACZLS01.fna_00050	CDS	2433				peptidase C11 clostripain
Rumen_CACZLS01.fna_00051	CDS	861				hypothetical protein
Rumen_CACZLS01.fna_00052	CDS	2448				Cellulose binding domain./Glycosyl hydrolase family 9.
Rumen_CACZLS01.fna_00053	CDS	1140				hypothetical protein
Rumen_CACZLS01.fna_00054	CDS	873				metallo-beta-lactamase superfamily exported protein
Rumen_CACZLS01.fna_00055	CDS	780				thymidylate synthase, flavin-dependent
Rumen_CACZLS01.fna_00056	CDS	888				hypothetical protein
Rumen_CACZLS01.fna_00057	CDS	546				DJ-1 family protein
Rumen_CACZLS01.fna_00058	CDS	558				5,10-methenyltetrahydrofolate synthetase 
Rumen_CACZLS01.fna_00059	CDS	1371				putative periplasmic solute-binding protein
Rumen_CACZLS01.fna_00060	CDS	1218				peptidase U32
Rumen_CACZLS01.fna_00061	CDS	456				Acetyltransferases
Rumen_CACZLS01.fna_00062	CDS	267				hypothetical protein
Rumen_CACZLS01.fna_00063	CDS	258				hypothetical protein
Rumen_CACZLS01.fna_00064	CDS	279				hypothetical protein
Rumen_CACZLS01.fna_00065	CDS	207				XRE family transcriptional regulator
Rumen_CACZLS01.fna_00066	CDS	423				hypothetical protein
Rumen_CACZLS01.fna_00067	CDS	435				hypothetical protein
Rumen_CACZLS01.fna_00068	CDS	303				hypothetical protein
Rumen_CACZLS01.fna_00069	CDS	732				RNA polymerase sigma factor, sigma-70 family
Rumen_CACZLS01.fna_00070	CDS	2523				Primase 1
Rumen_CACZLS01.fna_00071	CDS	192				hypothetical protein
Rumen_CACZLS01.fna_00072	CDS	444				hypothetical protein
Rumen_CACZLS01.fna_00073	CDS	255				hypothetical protein
Rumen_CACZLS01.fna_00074	CDS	180				hypothetical protein
Rumen_CACZLS01.fna_00075	CDS	681				hypothetical protein
Rumen_CACZLS01.fna_00076	CDS	192				hypothetical protein
Rumen_CACZLS01.fna_00077	CDS	726				transcriptional regulator
Rumen_CACZLS01.fna_00078	CDS	1260				integrase
Rumen_CACZLS01.fna_00079	tRNA	76				tRNA-Thr(ggt)
Rumen_CACZLS01.fna_00080	CDS	534				deoxycytidine triphosphate deaminase
Rumen_CACZLS01.fna_00081	CDS	1218				tyrosyl-tRNA synthetase 
Rumen_CACZLS01.fna_00082	tRNA	76				tRNA-Pro(ggg)
Rumen_CACZLS01.fna_00083	CDS	1683				hypothetical protein
Rumen_CACZLS01.fna_00084	CDS	2406				ABC transporter substrate-binding protein
Rumen_CACZLS01.fna_00085	CDS	2139				hypothetical protein 
Rumen_CACZLS01.fna_00086	CDS	852				Prephenate dehydrogenase 
Rumen_CACZLS01.fna_00087	CDS	801				MIP family transporter
Rumen_CACZLS01.fna_00088	CDS	1908				diguanylate cyclase (GGDEF) domain protein
Rumen_CACZLS01.fna_00089	CDS	2400				MutS2 family protein
Rumen_CACZLS01.fna_00090	CDS	750				DNA repair protein RecO
Rumen_CACZLS01.fna_00091	CDS	894				GTP-binding protein Era
Rumen_CACZLS01.fna_00092	CDS	513				hypothetical protein
Rumen_CACZLS01.fna_00093	CDS	969				PhoH family protein
Rumen_CACZLS01.fna_00094	CDS	516				hypothetical protein
Rumen_CACZLS01.fna_00095	CDS	735				hypothetical protein
Rumen_CACZLS01.fna_00096	CDS	1038				glyceraldehyde-3-phosphate dehydrogenase, type I 
Rumen_CACZLS01.fna_00097	CDS	372				hypothetical protein
Rumen_CACZLS01.fna_00098	CDS	366				hypothetical protein
Rumen_CACZLS01.fna_00099	CDS	198				Small, acid-soluble spore proteins, alpha/beta type.
Rumen_CACZLS01.fna_00100	CDS	324				hypothetical protein
Rumen_CACZLS01.fna_00101	CDS	2196				helicase, putative, RecD/TraA family 
Rumen_CACZLS01.fna_00102	CDS	1020				rod shape-determining protein MreB
Rumen_CACZLS01.fna_00103	CDS	1002				hypothetical protein
Rumen_CACZLS01.fna_00104	CDS	828				chromosome partitioning ATPase
Rumen_CACZLS01.fna_00105	CDS	1665				GGDEF/EAL/PAS domain-containing protein
Rumen_CACZLS01.fna_00106	CDS	969				hypothetical protein
Rumen_CACZLS01.fna_00107	CDS	450				hypothetical protein
Rumen_CACZLS01.fna_00108	CDS	228				hypothetical protein
Rumen_CACZLS01.fna_00109	CDS	1296				radical SAM additional 4Fe4S-binding domain-containing protein
Rumen_CACZLS01.fna_00110	CDS	366				hypothetical protein
Rumen_CACZLS01.fna_00111	CDS	999				hypothetical protein
Rumen_CACZLS01.fna_00112	CDS	693				hypothetical protein
Rumen_CACZLS01.fna_00113	CDS	1383				putative efflux protein, MATE family
Rumen_CACZLS01.fna_00114	CDS	828				putative pyrophosphatase
Rumen_CACZLS01.fna_00115	tRNA	75				tRNA-Gln(ttg)
Rumen_CACZLS01.fna_00116	CDS	483				Deoxycytidylate deaminase 
Rumen_CACZLS01.fna_00117	CDS	1926				diguanylate cyclase (GGDEF) domain protein
Rumen_CACZLS01.fna_00118	CDS	534				Inorganic pyrophosphatase 
Rumen_CACZLS01.fna_00119	CDS	1146				ribose-phosphate pyrophosphokinase 
Rumen_CACZLS01.fna_00120	CDS	1716				metal dependent phosphohydrolase
Rumen_CACZLS01.fna_00121	CDS	1128				D-alanyl-D-alanine carboxypeptidase
Rumen_CACZLS01.fna_00122	CDS	339				phosphoribosyl-ATP diphosphatase
Rumen_CACZLS01.fna_00123	CDS	345				phosphoribosyl-AMP cyclohydrolase 
Rumen_CACZLS01.fna_00124	CDS	402				N-acetyltransferase GCN5 
Rumen_CACZLS01.fna_00125	CDS	402				CMP/dCMP deaminase zinc-binding protein
Rumen_CACZLS01.fna_00126	CDS	756				Imidazole glycerol phosphate synthase cyclase subunit
Rumen_CACZLS01.fna_00127	CDS	522				GNAT family acetyltransferase
Rumen_CACZLS01.fna_00128	CDS	726				phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase 
Rumen_CACZLS01.fna_00129	CDS	537				aldH; flavodoxin
Rumen_CACZLS01.fna_00130	CDS	792				hypothetical protein
Rumen_CACZLS01.fna_00131	CDS	690				hypothetical protein
Rumen_CACZLS01.fna_00132	CDS	603				imidazole glycerol phosphate synthase, glutamine amidotransferase subunit
Rumen_CACZLS01.fna_00133	CDS	594				imidazoleglycerol-phosphate dehydratase 
Rumen_CACZLS01.fna_00134	CDS	1062				histidinol-phosphate aminotransferase 
Rumen_CACZLS01.fna_00135	CDS	696				hypothetical protein
Rumen_CACZLS01.fna_00136	CDS	735				hypothetical protein
Rumen_CACZLS01.fna_00137	CDS	1284				histidinol dehydrogenase 
Rumen_CACZLS01.fna_00138	CDS	630				ATP phosphoribosyltransferase catalytic subunit 
Rumen_CACZLS01.fna_00139	CDS	1194				ATP phosphoribosyltransferase, regulatory subunit
Rumen_CACZLS01.fna_00140	CDS	4335				DNA polymerase III catalytic subunit, PolC type 
Rumen_CACZLS01.fna_00141	CDS	1038				1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase
Rumen_CACZLS01.fna_00142	CDS	435				hypothetical protein
Rumen_CACZLS01.fna_00143	CDS	1056				membrane-associated zinc metalloprotease
Rumen_CACZLS01.fna_00144	CDS	1143				1-deoxy-D-xylulose 5-phosphate reductoisomerase 
Rumen_CACZLS01.fna_00145	CDS	924				CDP-diglyceride synthetase 
Rumen_CACZLS01.fna_00146	CDS	744				Undecaprenyl pyrophosphate synthetase 
Rumen_CACZLS01.fna_00147	CDS	555				ribosome recycling factor
Rumen_CACZLS01.fna_00148	CDS	711				uridylate kinase 
Rumen_CACZLS01.fna_00149	tRNA	89				tRNA-Ser(tga)
Rumen_CACZLS01.fna_00150	tRNA	90				tRNA-Ser(gct)
Rumen_CACZLS01.fna_00151	CDS	1884				pullulanase, type I 
Rumen_CACZLS01.fna_00152	CDS	750				AraC-type DNA-binding domain-containing proteins
Rumen_CACZLS01.fna_00153	CDS	1380				MATE efflux family protein
Rumen_CACZLS01.fna_00154	CDS	2067				hypothetical protein
Rumen_CACZLS01.fna_00155	CDS	492				RNA polymerase sigma factor, sigma-70 family
Rumen_CACZLS01.fna_00156	tmRNA	370	ssrA			transfer-messenger RNA, SsrA
Rumen_CACZLS01.fna_00157	CDS	753				hypothetical protein
Rumen_CACZLS01.fna_00158	CDS	1029				diguanylate cyclase
Rumen_CACZLS01.fna_00159	CDS	663				hypothetical protein
Rumen_CACZLS01.fna_00160	CDS	771				tryptophan synthase, alpha chain 
Rumen_CACZLS01.fna_00161	CDS	1191				tryptophan synthase subunit beta
Rumen_CACZLS01.fna_00162	CDS	603				Phosphoribosylanthranilate isomerase 
Rumen_CACZLS01.fna_00163	CDS	786				Indole-3-glycerol phosphate synthase 
Rumen_CACZLS01.fna_00164	CDS	1020				anthranilate phosphoribosyltransferase 
Rumen_CACZLS01.fna_00165	CDS	561				anthranilate/para-aminobenzoate synthase component II, TrpG
Rumen_CACZLS01.fna_00166	CDS	1464				anthranilate synthase, component I 
Rumen_CACZLS01.fna_00167	CDS	1914				Serine protease inhibitor
Rumen_CACZLS01.fna_00168	CDS	1209				adenylosuccinate synthase
Rumen_CACZLS01.fna_00169	CDS	912				hypothetical protein
Rumen_CACZLS01.fna_00170	CDS	900				hypothetical protein
Rumen_CACZLS01.fna_00171	CDS	966				hypothetical protein
Rumen_CACZLS01.fna_00172	CDS	1419				beta-glucanase
Rumen_CACZLS01.fna_00173	CDS	1155				hypothetical protein
Rumen_CACZLS01.fna_00174	CDS	978				DnaD and phage-associated domain protein
Rumen_CACZLS01.fna_00175	CDS	981				DNA replication protein
Rumen_CACZLS01.fna_00176	CDS	894				hypothetical protein
Rumen_CACZLS01.fna_00177	CDS	1830				ATP-dependent metalloprotease FtsH 
Rumen_CACZLS01.fna_00178	CDS	519				putative membrane protein
Rumen_CACZLS01.fna_00179	CDS	1791				diguanylate cyclase
Rumen_CACZLS01.fna_00180	CDS	1263				hypothetical protein
Rumen_CACZLS01.fna_00181	CDS	2124				formate acetyltransferase 
Rumen_CACZLS01.fna_00182	CDS	213				hypothetical protein
Rumen_CACZLS01.fna_00183	CDS	240				formate C-acetyltransferase glycine radical
Rumen_CACZLS01.fna_00184	CDS	435				hypothetical protein
Rumen_CACZLS01.fna_00185	CDS	990				diaminopimelate dehydrogenase 
Rumen_CACZLS01.fna_00186	CDS	756				dihydrodipicolinate reductase 
Rumen_CACZLS01.fna_00187	CDS	891				dihydrodipicolinate synthase 
Rumen_CACZLS01.fna_00188	CDS	1080				aspartate semialdehyde dehydrogenase 
Rumen_CACZLS01.fna_00189	CDS	693				putative DNA alkylation repair enzyme
Rumen_CACZLS01.fna_00190	CDS	1032				S-adenosylmethionine--tRNA ribosyltransferase-isomerase 
Rumen_CACZLS01.fna_00191	CDS	372				hypothetical protein
Rumen_CACZLS01.fna_00192	CDS	459				hypothetical protein
Rumen_CACZLS01.fna_00193	CDS	1134				tRNA-guanine transglycosylase 
Rumen_CACZLS01.fna_00194	CDS	642				haloacid dehalogenase superfamily, subfamily IA, variant 3 with third motif having DD or ED/haloacid dehalogenase superfamily, subfamily IA, variant 1 with third motif having Dx(3-4)D or Dx(3-4)E 
Rumen_CACZLS01.fna_00195	CDS	660				hypothetical protein
Rumen_CACZLS01.fna_00196	CDS	1140				Suppressor of fused protein (SUFU).
Rumen_CACZLS01.fna_00197	CDS	2763				protein translocase subunit secA
Rumen_CACZLS01.fna_00198	CDS	966				hypothetical protein
Rumen_CACZLS01.fna_00199	CDS	768				Methyltransferase domain.
Rumen_CACZLS01.fna_00200	CDS	885				Disulfide bond chaperones of the HSP33 family protein
Rumen_CACZLS01.fna_00201	CDS	678				hypothetical protein
Rumen_CACZLS01.fna_00202	CDS	1248				GTP-binding protein HflX
Rumen_CACZLS01.fna_00203	CDS	1971				arabinogalactan endo-1,4-beta-galactosidase 
Rumen_CACZLS01.fna_00204	CDS	1011				aspartate/ammonia ligase 
Rumen_CACZLS01.fna_00205	CDS	1371				asparaginyl-tRNA synthetase
Rumen_CACZLS01.fna_00206	CDS	1029				3-deoxy-D-arabinoheptulosonate-7-phosphate synthase 
Rumen_CACZLS01.fna_00207	CDS	309				hypothetical protein
Rumen_CACZLS01.fna_00208	CDS	1215				putative site-specific recombinase
Rumen_CACZLS01.fna_00209	CDS	318				hypothetical protein
Rumen_CACZLS01.fna_00210	CDS	1215				putative site-specific recombinase
