locus_tag	ftype	length_bp	gene	EC_number	COG	product
Human_SRR6028624_bin.16.fna_00001	CDS	753				hypothetical protein
Human_SRR6028624_bin.16.fna_00002	CDS	198				hypothetical protein
Human_SRR6028624_bin.16.fna_00003	CDS	813				putative metal-dependent hydrolase of the TIM-barrel fold protein
Human_SRR6028624_bin.16.fna_00004	CDS	2772				Pectate lyase
Human_SRR6028624_bin.16.fna_00005	CDS	3762				Pectate lyase/Amb allergen
Human_SRR6028624_bin.16.fna_00006	CDS	411				hypothetical protein
Human_SRR6028624_bin.16.fna_00007	CDS	1623				chaperonin GroL
Human_SRR6028624_bin.16.fna_00008	CDS	273				chaperonin Cpn10
Human_SRR6028624_bin.16.fna_00009	CDS	1731				Membrane proteins related to metalloendopeptidases
Human_SRR6028624_bin.16.fna_00010	CDS	1239				LuxS protein involved in autoinducer AI2 synthesis 
Human_SRR6028624_bin.16.fna_00011	CDS	888				hypothetical protein
Human_SRR6028624_bin.16.fna_00012	CDS	735				Fructose-2,6-bisphosphatase 
Human_SRR6028624_bin.16.fna_00013	CDS	720				Helix-turn-helix.
Human_SRR6028624_bin.16.fna_00014	CDS	708				Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain protein
Human_SRR6028624_bin.16.fna_00015	CDS	1410				Signal transduction histidine kinase
Human_SRR6028624_bin.16.fna_00016	CDS	1545				hypothetical protein
Human_SRR6028624_bin.16.fna_00017	CDS	399				hypothetical protein
Human_SRR6028624_bin.16.fna_00018	CDS	531				preprotein translocase, YajC subunit
Human_SRR6028624_bin.16.fna_00019	CDS	342				50S ribosomal protein L17
Human_SRR6028624_bin.16.fna_00020	CDS	966				DNA-directed RNA polymerase subunit alpha 
Human_SRR6028624_bin.16.fna_00021	CDS	600				SSU ribosomal protein S4P
Human_SRR6028624_bin.16.fna_00022	CDS	369				SSU ribosomal protein S13P
Human_SRR6028624_bin.16.fna_00023	CDS	219				infA; translation initiation factor IF-1
Human_SRR6028624_bin.16.fna_00024	CDS	243				hypothetical protein
Human_SRR6028624_bin.16.fna_00025	CDS	753				methionine aminopeptidase, type I 
Human_SRR6028624_bin.16.fna_00026	CDS	636				Adenylate kinase 
Human_SRR6028624_bin.16.fna_00027	CDS	1341				protein translocase subunit secY/sec61 alpha
Human_SRR6028624_bin.16.fna_00028	CDS	441				LSU ribosomal protein L15P
Human_SRR6028624_bin.16.fna_00029	CDS	177				LSU ribosomal protein L30P
Human_SRR6028624_bin.16.fna_00030	CDS	501				SSU ribosomal protein S5P
Human_SRR6028624_bin.16.fna_00031	CDS	360				50S ribosomal protein L18
Human_SRR6028624_bin.16.fna_00032	CDS	594				LSU ribosomal protein L6P
Human_SRR6028624_bin.16.fna_00033	CDS	399				SSU ribosomal protein S8P
Human_SRR6028624_bin.16.fna_00034	CDS	540				Ribosomal protein L5
Human_SRR6028624_bin.16.fna_00035	CDS	342				50S ribosomal protein L24
Human_SRR6028624_bin.16.fna_00036	CDS	360				50S ribosomal protein L14
Human_SRR6028624_bin.16.fna_00037	CDS	261				30S ribosomal protein S17
Human_SRR6028624_bin.16.fna_00038	CDS	201				LSU ribosomal protein L29P
Human_SRR6028624_bin.16.fna_00039	CDS	426				LSU ribosomal protein L16P
Human_SRR6028624_bin.16.fna_00040	CDS	786				SSU ribosomal protein S3P
Human_SRR6028624_bin.16.fna_00041	CDS	336				LSU ribosomal protein L22P
Human_SRR6028624_bin.16.fna_00042	CDS	285				SSU ribosomal protein S19P
Human_SRR6028624_bin.16.fna_00043	CDS	789				LSU ribosomal protein L2P
Human_SRR6028624_bin.16.fna_00044	CDS	294				hypothetical protein
Human_SRR6028624_bin.16.fna_00045	CDS	624				LSU ribosomal protein L4P
Human_SRR6028624_bin.16.fna_00046	CDS	633				LSU ribosomal protein L3P
Human_SRR6028624_bin.16.fna_00047	CDS	381				30S ribosomal protein S10
Human_SRR6028624_bin.16.fna_00048	CDS	474				hypothetical protein
Human_SRR6028624_bin.16.fna_00049	CDS	786				Metal-dependent hydrolases of the beta-lactamase superfamily I
Human_SRR6028624_bin.16.fna_00050	CDS	840				nicotinate-nucleotide pyrophosphorylase [carboxylating] 
Human_SRR6028624_bin.16.fna_00051	CDS	1458				L-aspartate oxidase 
Human_SRR6028624_bin.16.fna_00052	CDS	1065				spermidine/putrescine ABC transporter ATPase
Human_SRR6028624_bin.16.fna_00053	CDS	807				ABC-type spermidine/putrescine transport system, permease component I
Human_SRR6028624_bin.16.fna_00054	CDS	807				binding-protein-dependent transport system inner membrane protein
Human_SRR6028624_bin.16.fna_00055	CDS	1272				ABC transporter substrate-binding protein
Human_SRR6028624_bin.16.fna_00056	CDS	900				putative permeases
Human_SRR6028624_bin.16.fna_00057	CDS	702				hypothetical protein
Human_SRR6028624_bin.16.fna_00058	CDS	285				hypothetical protein
Human_SRR6028624_bin.16.fna_00059	CDS	3900				DNA-directed RNA polymerase subunit beta 
Human_SRR6028624_bin.16.fna_00060	CDS	1326				cca; tRNA nucleotidyltransferase 
Human_SRR6028624_bin.16.fna_00061	CDS	756				pyruvate formate-lyase activating enzyme 
Human_SRR6028624_bin.16.fna_00062	CDS	321				SSU ribosomal protein S6P
Human_SRR6028624_bin.16.fna_00063	CDS	507				single stranded DNA-binding protein (ssb)
Human_SRR6028624_bin.16.fna_00064	CDS	243				SSU ribosomal protein S18P
Human_SRR6028624_bin.16.fna_00065	CDS	219				hypothetical protein
Human_SRR6028624_bin.16.fna_00066	CDS	615				Nuclease-related domain.
Human_SRR6028624_bin.16.fna_00067	CDS	252				PTS HPr component phosphorylation site.
Human_SRR6028624_bin.16.fna_00068	CDS	1320				MiaB-like tRNA modifying enzyme 
Human_SRR6028624_bin.16.fna_00069	CDS	3705				phosphoribosylformylglycinamidine synthase 
Human_SRR6028624_bin.16.fna_00070	CDS	414				ADP-ribose pyrophosphatase
Human_SRR6028624_bin.16.fna_00071	CDS	1455				glycogen/starch synthase 
Human_SRR6028624_bin.16.fna_00072	CDS	669				HAD-superfamily hydrolase
Human_SRR6028624_bin.16.fna_00073	CDS	243				hypothetical protein
Human_SRR6028624_bin.16.fna_00074	CDS	2016				PASTA domain./Protein kinase domain.
Human_SRR6028624_bin.16.fna_00075	CDS	1146				CAAX amino terminal protease family protein
Human_SRR6028624_bin.16.fna_00076	CDS	1047				GumN family protein
Human_SRR6028624_bin.16.fna_00077	CDS	423				hypothetical protein
Human_SRR6028624_bin.16.fna_00078	CDS	951				Lactate dehydrogenase 
Human_SRR6028624_bin.16.fna_00079	CDS	798				glutamate 5-kinase
Human_SRR6028624_bin.16.fna_00080	CDS	1248				glutamate-5-semialdehyde dehydrogenase 
Human_SRR6028624_bin.16.fna_00081	CDS	1923				hypothetical protein
Human_SRR6028624_bin.16.fna_00082	CDS	948				transketolase central region
Human_SRR6028624_bin.16.fna_00083	CDS	840				hypothetical protein
Human_SRR6028624_bin.16.fna_00084	CDS	807				cof family hydrolase
Human_SRR6028624_bin.16.fna_00085	CDS	915				ribosomal large subunit pseudouridine synthase D 
Human_SRR6028624_bin.16.fna_00086	CDS	504				lipoprotein signal peptidase 
Human_SRR6028624_bin.16.fna_00087	CDS	2718				Isoleucyl-tRNA synthetase 
Human_SRR6028624_bin.16.fna_00088	CDS	576				DivIVA domain protein
Human_SRR6028624_bin.16.fna_00089	CDS	759				RNA-binding S4 domain-containing protein
Human_SRR6028624_bin.16.fna_00090	CDS	462				hypothetical protein
Human_SRR6028624_bin.16.fna_00091	CDS	699				pyridoxal phosphate enzyme, YggS family
Human_SRR6028624_bin.16.fna_00092	CDS	1221				hypothetical protein
Human_SRR6028624_bin.16.fna_00093	CDS	240				RNA-binding protein Hfq
Human_SRR6028624_bin.16.fna_00094	CDS	951				tRNA isopentenyltransferase (miaA) 
Human_SRR6028624_bin.16.fna_00095	CDS	2007				DNA mismatch repair protein MutL
Human_SRR6028624_bin.16.fna_00096	CDS	639				hypothetical protein
Human_SRR6028624_bin.16.fna_00097	CDS	1230				Beta-glucosidase-related glycosidases 
Human_SRR6028624_bin.16.fna_00098	CDS	423				hypothetical protein
Human_SRR6028624_bin.16.fna_00099	CDS	1998				DNA mismatch repair protein MutS
Human_SRR6028624_bin.16.fna_00100	CDS	1581				hypothetical protein
Human_SRR6028624_bin.16.fna_00101	CDS	417				hypothetical protein
Human_SRR6028624_bin.16.fna_00102	CDS	1383				Ig-like domain-containing surface protein
Human_SRR6028624_bin.16.fna_00103	CDS	846				hypothetical protein
