locus_tag	ftype	length_bp	gene	EC_number	COG	product
Rumen_CADAEW01.fna_00001	CDS	528				hypothetical protein
Rumen_CADAEW01.fna_00002	CDS	276				hypothetical protein
Rumen_CADAEW01.fna_00003	CDS	1149				recF protein
Rumen_CADAEW01.fna_00004	CDS	210				hypothetical protein
Rumen_CADAEW01.fna_00005	CDS	1104				DNA polymerase III, beta subunit 
Rumen_CADAEW01.fna_00006	CDS	1374				chromosomal replication initiator protein DnaA
Rumen_CADAEW01.fna_00007	CDS	372				ribonuclease P protein component, eubacterial 
Rumen_CADAEW01.fna_00008	CDS	306				hypothetical protein
Rumen_CADAEW01.fna_00009	CDS	1170				YidC/Oxa1 family membrane protein insertase
Rumen_CADAEW01.fna_00010	CDS	1035				putative RNA-binding protein
Rumen_CADAEW01.fna_00011	CDS	1362				tRNA modification GTPase TrmE
Rumen_CADAEW01.fna_00012	CDS	1875				glucose-inhibited division protein A
Rumen_CADAEW01.fna_00013	CDS	708				16S rRNA m(7)G-527 methyltransferase 
Rumen_CADAEW01.fna_00014	CDS	816				ParB-like partition proteins
Rumen_CADAEW01.fna_00015	CDS	825				chromosome segregation ATPase
Rumen_CADAEW01.fna_00016	CDS	855				chromosome segregation DNA-binding protein
Rumen_CADAEW01.fna_00017	CDS	1293				seryl-tRNA synthetase 
Rumen_CADAEW01.fna_00018	CDS	147				hypothetical protein
Rumen_CADAEW01.fna_00019	CDS	138				hypothetical protein
Rumen_CADAEW01.fna_00020	CDS	669				Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain protein
Rumen_CADAEW01.fna_00021	CDS	1209				Signal transduction histidine kinase
Rumen_CADAEW01.fna_00022	CDS	693				ABC-type antimicrobial peptide transport system, ATPase component
Rumen_CADAEW01.fna_00023	CDS	2838				ABC-type antimicrobial peptide transport system, permease component
Rumen_CADAEW01.fna_00024	CDS	588				DNA polymerase III subunit epsilon
Rumen_CADAEW01.fna_00025	CDS	399				hypothetical protein
Rumen_CADAEW01.fna_00026	CDS	408				hypothetical protein
Rumen_CADAEW01.fna_00027	CDS	1158				putative flavoproteins
Rumen_CADAEW01.fna_00028	CDS	1191				sodium/hydrogen exchanger
Rumen_CADAEW01.fna_00029	CDS	1359				MatE efflux family protein
Rumen_CADAEW01.fna_00030	CDS	1704				diguanylate cyclase/phosphodiesterase
Rumen_CADAEW01.fna_00031	CDS	2286				hypothetical protein
Rumen_CADAEW01.fna_00032	CDS	777				RNA polymerase, sigma subunit, RpsG/SigG
Rumen_CADAEW01.fna_00033	CDS	1857				hypothetical protein
Rumen_CADAEW01.fna_00034	CDS	771				hypothetical protein
Rumen_CADAEW01.fna_00035	CDS	729				hypothetical protein
Rumen_CADAEW01.fna_00036	CDS	885				multidrug ABC transporter ATPase
Rumen_CADAEW01.fna_00037	CDS	372				regulatory protein GntR, HTH
Rumen_CADAEW01.fna_00038	CDS	3216				Peptidase M16C associated domain protein
Rumen_CADAEW01.fna_00039	CDS	378				hypothetical protein
Rumen_CADAEW01.fna_00040	CDS	774				putative acetyltransferase/hydrolase
Rumen_CADAEW01.fna_00041	CDS	249				hypothetical protein
Rumen_CADAEW01.fna_00042	CDS	1449				iron-only hydrogenase maturation protein HydG
Rumen_CADAEW01.fna_00043	CDS	1551				GMP synthase (glutamine-hydrolyzing) 
Rumen_CADAEW01.fna_00044	CDS	858				putative phosphohydrolases
Rumen_CADAEW01.fna_00045	CDS	1932				diguanylate cyclase (GGDEF) domain protein
Rumen_CADAEW01.fna_00046	CDS	1311				ABC transporter substrate-binding protein
Rumen_CADAEW01.fna_00047	CDS	894				carbohydrate ABC transporter membrane protein 1, CUT1 family
Rumen_CADAEW01.fna_00048	CDS	828				ABC transporter permease
Rumen_CADAEW01.fna_00049	CDS	1107				gh105B; unsaturated rhamnogalacturonyl hydrolase Gh105B 
Rumen_CADAEW01.fna_00050	CDS	3477				O-Glycosyl hydrolase
Rumen_CADAEW01.fna_00051	CDS	435				hypothetical protein
Rumen_CADAEW01.fna_00052	CDS	996				Membrane protease subunits, stomatin/prohibitin homologs
Rumen_CADAEW01.fna_00053	CDS	729				rRNA methylase, putative, group 3 
Rumen_CADAEW01.fna_00054	CDS	2520				hypothetical protein
Rumen_CADAEW01.fna_00055	CDS	1410				cell envelope-related function transcriptional attenuator common domain protein
Rumen_CADAEW01.fna_00056	CDS	954				glycoside hydrolase family protein
Rumen_CADAEW01.fna_00057	CDS	813				hypothetical protein
Rumen_CADAEW01.fna_00058	CDS	780				hypothetical protein
Rumen_CADAEW01.fna_00059	CDS	1611				hypothetical protein
Rumen_CADAEW01.fna_00060	CDS	438				MscL family large conductance mechanosensitive channel
Rumen_CADAEW01.fna_00061	CDS	1572				hypothetical protein
Rumen_CADAEW01.fna_00062	CDS	1089				D-alanyl-D-alanine carboxypeptidase
Rumen_CADAEW01.fna_00063	CDS	261				SSU ribosomal protein S20P
Rumen_CADAEW01.fna_00064	CDS	849				Germination protease. 
Rumen_CADAEW01.fna_00065	CDS	975				protein-export membrane protein SecF
Rumen_CADAEW01.fna_00066	CDS	1410				protein-export membrane protein SecD
Rumen_CADAEW01.fna_00067	CDS	411				ATP synthase F1 subcomplex epsilon subunit 
Rumen_CADAEW01.fna_00068	CDS	1398				ATP synthase F1 subcomplex beta subunit 
Rumen_CADAEW01.fna_00069	CDS	393				pyridoxamine 5'-phosphate oxidase family protein
Rumen_CADAEW01.fna_00070	CDS	909				ATP synthase, F1 gamma subunit 
Rumen_CADAEW01.fna_00071	CDS	2025				atpA2; ATP synthase F1 subunit alpha 
Rumen_CADAEW01.fna_00072	CDS	489				ATP synthase F0 subcomplex B subunit 
Rumen_CADAEW01.fna_00073	CDS	228				hypothetical protein
Rumen_CADAEW01.fna_00074	CDS	228				hypothetical protein
Rumen_CADAEW01.fna_00075	CDS	738				ATP synthase F0 subcomplex A subunit 
Rumen_CADAEW01.fna_00076	CDS	339				hypothetical protein
Rumen_CADAEW01.fna_00077	CDS	963				GDP-D-mannose dehydratase 
Rumen_CADAEW01.fna_00078	CDS	1125				Glycosyltransferase
Rumen_CADAEW01.fna_00079	CDS	273				hypothetical protein
Rumen_CADAEW01.fna_00080	CDS	1185				group 1 glycosyl transferase
Rumen_CADAEW01.fna_00081	CDS	171				hypothetical protein
Rumen_CADAEW01.fna_00082	CDS	1038				GDP-mannose 4,6-dehydratase 
Rumen_CADAEW01.fna_00083	CDS	1065				Mannose-1-phosphate guanylyltransferase 
Rumen_CADAEW01.fna_00084	CDS	1383				exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase
Rumen_CADAEW01.fna_00085	CDS	2061				hypothetical protein
Rumen_CADAEW01.fna_00086	CDS	603				recombination protein RecR
Rumen_CADAEW01.fna_00087	CDS	351				hypothetical protein
Rumen_CADAEW01.fna_00088	CDS	1632				DNA polymerase III, subunits gamma and tau 
Rumen_CADAEW01.fna_00089	CDS	897				hypothetical protein
Rumen_CADAEW01.fna_00090	CDS	2319				hypothetical protein
Rumen_CADAEW01.fna_00091	CDS	1836				Beta-mannanase 
Rumen_CADAEW01.fna_00092	CDS	1314				hypothetical protein
Rumen_CADAEW01.fna_00093	CDS	768				Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain protein
Rumen_CADAEW01.fna_00094	CDS	510				hypothetical protein
Rumen_CADAEW01.fna_00095	CDS	336				cellobiose phosphorylase 
Rumen_CADAEW01.fna_00096	CDS	402				hypothetical protein
Rumen_CADAEW01.fna_00097	CDS	585				CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase 
Rumen_CADAEW01.fna_00098	CDS	1332				SSU ribosomal protein S12P methylthiotransferase 
Rumen_CADAEW01.fna_00099	CDS	636				hypothetical protein
Rumen_CADAEW01.fna_00100	CDS	1173				RecA protein
Rumen_CADAEW01.fna_00101	CDS	864				protein-(glutamine-N5) methyltransferase
Rumen_CADAEW01.fna_00102	CDS	969				putative metal-dependent enzyme
Rumen_CADAEW01.fna_00103	CDS	1410				Signal transduction histidine kinase
Rumen_CADAEW01.fna_00104	CDS	702				winged helix family two component transcriptional regulator
Rumen_CADAEW01.fna_00105	CDS	681				hypothetical protein
Rumen_CADAEW01.fna_00106	CDS	1323				hypothetical protein
Rumen_CADAEW01.fna_00107	CDS	498				Citrate synthase 
Rumen_CADAEW01.fna_00108	CDS	903				Citrate synthase 
Rumen_CADAEW01.fna_00109	CDS	1011				stage II sporulation protein D
Rumen_CADAEW01.fna_00110	CDS	243				hypothetical protein
Rumen_CADAEW01.fna_00111	CDS	525				RNase HI 
Rumen_CADAEW01.fna_00112	CDS	486				hypothetical protein
Rumen_CADAEW01.fna_00113	CDS	996				Glycosyltransferases involved in cell wall biogenesis 
Rumen_CADAEW01.fna_00114	CDS	966				CAAX amino terminal protease family.
Rumen_CADAEW01.fna_00115	CDS	306				hypothetical protein
Rumen_CADAEW01.fna_00116	CDS	693				hypothetical protein
