locus_tag	ftype	length_bp	gene	EC_number	COG	product
baboon1_00001	CDS	723				TraX protein.
baboon1_00002	CDS	1866				Plasmid recombination enzyme.
baboon1_00003	CDS	300				hypothetical protein
baboon1_00004	CDS	339				hypothetical protein
baboon1_00005	CDS	1086				hypothetical protein
baboon1_00006	CDS	1026				hypothetical protein
baboon1_00007	CDS	1818				RNA-directed DNA polymerase
baboon1_00008	CDS	576				hypothetical protein
baboon1_00009	CDS	10851				N-6 DNA methylase
baboon1_00010	CDS	789				hypothetical protein
baboon1_00011	CDS	912				hypothetical protein
baboon1_00012	CDS	240				hypothetical protein
baboon1_00013	CDS	183				hypothetical protein
baboon1_00014	CDS	312				putative transcriptional regulator
baboon1_00015	CDS	339				hypothetical protein
baboon1_00016	CDS	642				ASCH domain protein
baboon1_00017	CDS	849	rpoA	2.7.7.6		DNA-directed RNA polymerase subunit alpha
baboon1_00018	CDS	2133				Topoisomerase IA 
baboon1_00019	CDS	1026				hypothetical protein
baboon1_00020	CDS	198				XRE family transcriptional regulator
baboon1_00021	CDS	390				hypothetical protein
baboon1_00022	CDS	2178				hypothetical protein
baboon1_00023	CDS	339				hypothetical protein
baboon1_00024	CDS	1311				hypothetical protein
baboon1_00025	CDS	2472				TrsE protein
baboon1_00026	CDS	390				hypothetical protein
baboon1_00027	CDS	1167				hypothetical protein
baboon1_00028	CDS	495				hypothetical protein
baboon1_00029	CDS	477				hypothetical protein
baboon1_00030	CDS	2538				TRAG family protein
baboon1_00031	CDS	2328				hypothetical protein
baboon1_00032	CDS	240				hypothetical protein
baboon1_00033	CDS	441				single stranded DNA-binding protein (ssb)
baboon1_00034	CDS	1023				ParB protein
baboon1_00035	CDS	678				ATPases involved in chromosome partitioning
baboon1_00036	CDS	1023				putative site-specific recombinase
baboon1_00037	CDS	690				putative membrane protein
baboon1_00038	CDS	2865				Ricin B lectin
baboon1_00039	CDS	1113				GumN family protein
baboon1_00040	CDS	1395				MiaB family RNA modification protein
baboon1_00041	CDS	405				hypothetical protein
baboon1_00042	CDS	2613				DNA mismatch repair protein MutS
baboon1_00043	CDS	429				hypothetical protein
baboon1_00044	CDS	1953				DNA mismatch repair protein MutL
baboon1_00045	CDS	963				tRNA delta(2)-isopentenylpyrophosphate transferase
baboon1_00046	CDS	240				RNA-binding protein Hfq
baboon1_00047	CDS	1314				hypothetical protein
baboon1_00048	CDS	705				alanine racemase domain-containing protein
baboon1_00049	CDS	435				hypothetical protein
baboon1_00050	CDS	768				hypothetical protein
baboon1_00051	CDS	663				DivIVA domain protein
baboon1_00052	CDS	2775				Isoleucyl-tRNA synthetase 
baboon1_00053	CDS	510				lipoprotein signal peptidase 
baboon1_00054	CDS	915				ribosomal large subunit pseudouridine synthase D 
baboon1_00055	CDS	822				cof family hydrolase
baboon1_00056	CDS	840				hypothetical protein
baboon1_00057	CDS	951				hypothetical protein
baboon1_00058	CDS	2130				PTS system, glucose subfamily, IIA component
baboon1_00059	CDS	1068				branched chain amino acid aminotransferase apoenzyme 
baboon1_00060	CDS	612				hypothetical protein
baboon1_00061	CDS	1125				alanine racemase 
baboon1_00062	CDS	687				hypothetical protein
baboon1_00063	CDS	936				Transcriptional regulator
baboon1_00064	CDS	771				hydrolase, TatD family 
baboon1_00065	CDS	762				Serine/threonine protein phosphatase 
baboon1_00066	CDS	1407				glycyl-tRNA synthetase 
baboon1_00067	CDS	1596				RNA-metabolising metallo-beta-lactamase
baboon1_00068	CDS	408				hypothetical protein
baboon1_00069	CDS	420				SSU ribosomal protein S12P
baboon1_00070	CDS	471				SSU ribosomal protein S7P
baboon1_00071	CDS	2085				translation elongation factor 2 (EF-2/EF-G) 
baboon1_00072	CDS	1200				translation elongation factor Tu
baboon1_00073	CDS	1035				hypothetical protein
baboon1_00074	CDS	1827				mannan endo-1,4-beta-mannosidase 
baboon1_00075	CDS	2478				cellulase 
baboon1_00076	CDS	1020				ATP synthase alpha/beta family, nucleotide-binding domain.
baboon1_00077	CDS	996				aminoglycoside phosphotransferase
baboon1_00078	CDS	1359				hypothetical protein
baboon1_00079	CDS	270				ACT domain-containing protein
baboon1_00080	CDS	852				histidinol phosphate phosphatase HisJ family protein
baboon1_00081	CDS	483				Transcriptional regulators
baboon1_00082	CDS	1191				class I/II aminotransferase
baboon1_00083	CDS	861				4-diphosphocytidyl-2C-methyl-D-erythritol kinase 
baboon1_00084	CDS	2100				L-glutamine synthetase 
baboon1_00085	CDS	129				hypothetical protein
baboon1_00086	CDS	2004				ferrous iron transport protein B
baboon1_00087	CDS	237				ferrous iron transport protein B
baboon1_00088	CDS	1752				Superfamily II DNA and RNA helicases
baboon1_00089	CDS	114				hypothetical protein
baboon1_00090	CDS	2241				PAS domain S-box/diguanylate cyclase (GGDEF) domain-containing protein
baboon1_00091	CDS	1083				6-phosphofructokinase 
baboon1_00092	CDS	675				Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain protein
baboon1_00093	CDS	1425				Signal transduction histidine kinase
baboon1_00094	CDS	477				2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
baboon1_00095	CDS	1188				methionine adenosyltransferase 
baboon1_00096	CDS	1296				phenylacetate-CoA ligase 
baboon1_00097	CDS	807				cof family hydrolase
baboon1_00098	CDS	1719				indolepyruvate ferredoxin oxidoreductase, alpha subunit 
baboon1_00099	CDS	237				hypothetical protein
baboon1_00100	CDS	594				hypothetical protein
baboon1_00101	CDS	579				Pyruvate/ketoisovalerate oxidoreductase, catalytic domain
baboon1_00102	CDS	1308				phenylacetate-CoA ligase 
baboon1_00103	CDS	435				ACT domain protein
baboon1_00104	CDS	435				hypothetical protein
baboon1_00105	CDS	1227				sodium/proton-potassium antiporter GerN, CPA2 family (TC 2.A.37.2.2)
baboon1_00106	CDS	1185				hypothetical protein
baboon1_00107	CDS	891				rare lipoprotein A
baboon1_00108	CDS	1383				hypothetical protein
baboon1_00109	CDS	1488				ABC-type uncharacterized transport system.
baboon1_00110	CDS	765				hypothetical protein
baboon1_00111	CDS	1032				ABC-type multidrug transport system, ATPase component
baboon1_00112	CDS	2418				Glycosyl hydrolase family 48.
baboon1_00113	CDS	879				hypothetical protein
baboon1_00114	CDS	258				hypothetical protein
baboon1_00115	CDS	606				guanylate kinase 
baboon1_00116	CDS	207				DNA-directed RNA polymerase, omega subunit
baboon1_00117	CDS	2445				primosomal protein N' 
baboon1_00118	CDS	465				peptide deformylase 
baboon1_00119	CDS	939				methionyl-tRNA formyltransferase 
baboon1_00120	CDS	669				putative Zn-dependent protease
baboon1_00121	CDS	1308				ribosomal RNA small subunit methyltransferase RsmB 
baboon1_00122	CDS	1056				radical SAM enzyme, Cfr family
baboon1_00123	CDS	726				Serine/threonine protein phosphatase 
baboon1_00124	CDS	2220				Serine/threonine protein kinase 
baboon1_00125	CDS	879				ribosome small subunit-dependent GTPase A 
baboon1_00126	CDS	618				thiamine pyrophosphokinase 
baboon1_00127	CDS	342				hypothetical protein
baboon1_00128	CDS	366				hypothetical protein
baboon1_00129	CDS	639				Phosphatidylserine synthase 
