locus_tag	ftype	length_bp	gene	EC_number	COG	product
Human_ERR414243_bin.4.fna_00001	CDS	933				quinolinate synthetase A
Human_ERR414243_bin.4.fna_00002	CDS	1044				hydE; HydE 
Human_ERR414243_bin.4.fna_00003	CDS	939				hypothetical protein
Human_ERR414243_bin.4.fna_00004	CDS	129				hypothetical protein
Human_ERR414243_bin.4.fna_00005	CDS	1029				stage II sporulation protein D
Human_ERR414243_bin.4.fna_00006	CDS	1359				Citrate synthase 
Human_ERR414243_bin.4.fna_00007	CDS	1329				hypothetical protein
Human_ERR414243_bin.4.fna_00008	CDS	702				winged helix family two component transcriptional regulator
Human_ERR414243_bin.4.fna_00009	CDS	1404				Signal transduction histidine kinase
Human_ERR414243_bin.4.fna_00010	CDS	933				putative metal-dependent enzyme
Human_ERR414243_bin.4.fna_00011	CDS	858				protein-(glutamine-N5) methyltransferase
Human_ERR414243_bin.4.fna_00012	CDS	1215				RecA protein
Human_ERR414243_bin.4.fna_00013	CDS	633				hypothetical protein
Human_ERR414243_bin.4.fna_00014	CDS	1344				SSU ribosomal protein S12P methylthiotransferase 
Human_ERR414243_bin.4.fna_00015	CDS	585				CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase 
Human_ERR414243_bin.4.fna_00016	CDS	282				hypothetical protein
Human_ERR414243_bin.4.fna_00017	CDS	1335				aspartate kinase 
Human_ERR414243_bin.4.fna_00018	CDS	471				hypothetical protein
Human_ERR414243_bin.4.fna_00019	CDS	654				hypothetical protein
Human_ERR414243_bin.4.fna_00020	CDS	2313				ATPases with chaperone activity, ATP-binding subunit
Human_ERR414243_bin.4.fna_00021	CDS	897				Colicin V production protein.
Human_ERR414243_bin.4.fna_00022	CDS	1167				hypothetical protein
Human_ERR414243_bin.4.fna_00023	CDS	762				pseudouridylate synthase I 
Human_ERR414243_bin.4.fna_00024	CDS	3009				putative membrane protein
Human_ERR414243_bin.4.fna_00025	CDS	849				Germination protease. 
Human_ERR414243_bin.4.fna_00026	CDS	261				SSU ribosomal protein S20P
Human_ERR414243_bin.4.fna_00027	CDS	228				hypothetical protein
Human_ERR414243_bin.4.fna_00028	CDS	252				hypothetical protein
Human_ERR414243_bin.4.fna_00029	CDS	1317				hypothetical protein
Human_ERR414243_bin.4.fna_00030	CDS	1407				glycyl-tRNA synthetase 
Human_ERR414243_bin.4.fna_00031	CDS	2943				CoA-substrate-specific enzyme activase, putative
Human_ERR414243_bin.4.fna_00032	CDS	1230				hypothetical protein
Human_ERR414243_bin.4.fna_00033	CDS	864				phosphatidylserine decarboxylase precursor 
Human_ERR414243_bin.4.fna_00034	CDS	489				hypothetical protein
Human_ERR414243_bin.4.fna_00035	CDS	1143				chaperone protein DnaJ
Human_ERR414243_bin.4.fna_00036	CDS	1854				chaperone protein DnaK
Human_ERR414243_bin.4.fna_00037	CDS	534				Molecular chaperone GrpE (heat shock protein)
Human_ERR414243_bin.4.fna_00038	CDS	1053				heat shock gene repressor HrcA
Human_ERR414243_bin.4.fna_00039	CDS	1116				D-alanyl-D-alanine carboxypeptidase
Human_ERR414243_bin.4.fna_00040	CDS	1521				hypothetical protein
Human_ERR414243_bin.4.fna_00041	CDS	402				large conductance mechanosensitive channel protein
Human_ERR414243_bin.4.fna_00042	CDS	873				hypothetical protein
Human_ERR414243_bin.4.fna_00043	CDS	1392				exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase
Human_ERR414243_bin.4.fna_00044	CDS	1065				Mannose-1-phosphate guanylyltransferase 
Human_ERR414243_bin.4.fna_00045	CDS	1038				GDP-mannose 4,6-dehydratase 
Human_ERR414243_bin.4.fna_00046	CDS	1143				group 1 glycosyl transferase
Human_ERR414243_bin.4.fna_00047	CDS	1125				Glycosyltransferase
Human_ERR414243_bin.4.fna_00048	CDS	933				GDP-D-mannose dehydratase 
Human_ERR414243_bin.4.fna_00049	CDS	804				hypothetical protein
Human_ERR414243_bin.4.fna_00050	CDS	387				hypothetical protein
Human_ERR414243_bin.4.fna_00051	CDS	693				F0F1 ATP synthase subunit A
Human_ERR414243_bin.4.fna_00052	CDS	222				ATP synthase F0 subcomplex C subunit 
Human_ERR414243_bin.4.fna_00053	CDS	489				atpF; ATP synthase F0 subunit B 
