locus_tag	ftype	length_bp	gene	EC_number	COG	product
Rumen_CACVSO01.fna_00001	CDS	252				hypothetical protein
Rumen_CACVSO01.fna_00002	CDS	1116				hypothetical protein
Rumen_CACVSO01.fna_00003	CDS	1191				hypothetical protein
Rumen_CACVSO01.fna_00004	CDS	774				hypothetical protein
Rumen_CACVSO01.fna_00005	CDS	1005	strE	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
Rumen_CACVSO01.fna_00006	CDS	747				hypothetical protein
Rumen_CACVSO01.fna_00007	CDS	1299	pphA	3.11.1.3		Phosphonopyruvate hydrolase
Rumen_CACVSO01.fna_00008	CDS	279	sdpR		COG0640	Transcriptional repressor SdpR
Rumen_CACVSO01.fna_00009	CDS	675	sdpI		COG5658	Immunity protein SdpI
Rumen_CACVSO01.fna_00010	CDS	546	puuR			HTH-type transcriptional regulator PuuR
Rumen_CACVSO01.fna_00011	CDS	1674	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
Rumen_CACVSO01.fna_00012	CDS	1788				hypothetical protein
Rumen_CACVSO01.fna_00013	CDS	2178			COG0659	putative sulfate transporter
Rumen_CACVSO01.fna_00014	CDS	1098				hypothetical protein
Rumen_CACVSO01.fna_00015	CDS	1092				hypothetical protein
Rumen_CACVSO01.fna_00016	CDS	954	ldh1	1.1.1.27	COG0039	L-lactate dehydrogenase 1
Rumen_CACVSO01.fna_00017	CDS	744	pflA	1.97.1.4	COG1180	Pyruvate formate-lyase 1-activating enzyme
Rumen_CACVSO01.fna_00018	CDS	1320	cca	2.7.7.72		CCA-adding enzyme
Rumen_CACVSO01.fna_00019	CDS	2244	gyrA	5.99.1.3	COG0188	DNA gyrase subunit A
Rumen_CACVSO01.fna_00020	CDS	1980	gyrB	5.99.1.3		DNA gyrase subunit B
Rumen_CACVSO01.fna_00021	CDS	417	garA		COG1716	Glycogen accumulation regulator GarA
Rumen_CACVSO01.fna_00022	CDS	1284	rodA		COG0772	putative FtsW-like protein
Rumen_CACVSO01.fna_00023	CDS	1356	pbp_1		COG0768	Beta-lactam-inducible penicillin-binding protein
Rumen_CACVSO01.fna_00024	CDS	528	hpf			Ribosome hibernation promotion factor
Rumen_CACVSO01.fna_00025	CDS	672				hypothetical protein
