locus_tag	ftype	length_bp	gene	EC_number	COG	product
Rumen_CACYST01.fna_00001	CDS	594				Septum formation inhibitor-activating ATPase
Rumen_CACYST01.fna_00002	CDS	402				methylglyoxal synthase 
Rumen_CACYST01.fna_00003	CDS	1341				histidyl-tRNA synthetase 
Rumen_CACYST01.fna_00004	CDS	1776				aspartyl-tRNA synthetase 
Rumen_CACYST01.fna_00005	CDS	2019				Methionine--tRNA ligase 
Rumen_CACYST01.fna_00006	CDS	627				hypothetical protein
Rumen_CACYST01.fna_00007	CDS	672				CDP-alcohol phosphatidyltransferase
Rumen_CACYST01.fna_00008	CDS	1335				radical SAM protein
Rumen_CACYST01.fna_00009	CDS	1656				AMP-dependent synthetase and ligase
Rumen_CACYST01.fna_00010	CDS	645				phospholipid/glycerol acyltransferase
Rumen_CACYST01.fna_00011	CDS	1131				iron-containing alcohol dehydrogenase
Rumen_CACYST01.fna_00012	CDS	1134				phosphonopyruvate decarboxylase
Rumen_CACYST01.fna_00013	CDS	786				ABC-type amino acid transport/signal transduction systems, periplasmic component/domain
Rumen_CACYST01.fna_00014	CDS	693				amino acid ABC transporter membrane protein, PAAT family (TC 3.A.1.3.-)
Rumen_CACYST01.fna_00015	CDS	726				ABC transporter-like protein
Rumen_CACYST01.fna_00016	CDS	420				GCN5-related N-acetyltransferase
Rumen_CACYST01.fna_00017	CDS	762				amino acid ABC transporter ATP-binding protein, PAAT family (TC 3.A.1.3.-) 
Rumen_CACYST01.fna_00018	CDS	705				amino acid ABC transporter membrane protein, PAAT family (TC 3.A.1.3.-)
Rumen_CACYST01.fna_00019	CDS	621				putative TetR family transcriptional regulator
Rumen_CACYST01.fna_00020	CDS	708				aldo/keto reductase
Rumen_CACYST01.fna_00021	CDS	1386				ABC transporter
Rumen_CACYST01.fna_00022	CDS	744				ABC-type cobalt transport system, permease component CbiQ
Rumen_CACYST01.fna_00023	CDS	1734				ABC transporter ATP-binding protein/permease
Rumen_CACYST01.fna_00024	CDS	1752				ABC transporter ATP-binding protein/permease
Rumen_CACYST01.fna_00025	CDS	162				transcriptional regulator, AraC family
Rumen_CACYST01.fna_00026	CDS	849				transcriptional regulator
Rumen_CACYST01.fna_00027	CDS	567				hypothetical protein
Rumen_CACYST01.fna_00028	CDS	720				hypothetical protein
Rumen_CACYST01.fna_00029	CDS	1878				multidrug ABC transporter ATPase and permease
Rumen_CACYST01.fna_00030	CDS	2253				hypothetical protein
Rumen_CACYST01.fna_00031	CDS	930				ABC-type multidrug transport system, ATPase component
Rumen_CACYST01.fna_00032	CDS	504				transcriptional regulator, GntR family
Rumen_CACYST01.fna_00033	CDS	2115				polyribonucleotide nucleotidyltransferase 
Rumen_CACYST01.fna_00034	CDS	267				SSU ribosomal protein S15P
Rumen_CACYST01.fna_00035	CDS	660				rpe; ribulose-phosphate 3-epimerase Rpe 
Rumen_CACYST01.fna_00036	CDS	1149				putative NADH:ubiquinone oxidoreductase, subunit RnfD
Rumen_CACYST01.fna_00037	CDS	549				Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrD
Rumen_CACYST01.fna_00038	CDS	573				putative NADH:ubiquinone oxidoreductase, subunit RnfA
Rumen_CACYST01.fna_00039	CDS	1194				hypothetical protein
Rumen_CACYST01.fna_00040	CDS	960				Hpr(Ser) kinase/phosphatase 
Rumen_CACYST01.fna_00041	CDS	909				UDP-N-acetylmuramate dehydrogenase 
Rumen_CACYST01.fna_00042	CDS	900				putative P-loop-containing kinase
