# Species	Genes	Alg.-Conn.	Human_ERR414243_bin.4.fna.faa	Human_SRR5056681_bin.100.fna.faa	Human_SRR5056817_bin.33.fna.faa	Human_SRR5056841_bin.46.fna.faa	Human_SRR5056944_bin.12.fna.faa	Human_SRR5056994_bin.72.fna.faa	Human_SRR5558136_bin.38.fna.faa	Human_SRR6028624_bin.16.fna.faa	Rumen_CACVNT01.fna.faa	Rumen_CACVQO01.fna.faa	Rumen_CACVRV01.fna.faa	Rumen_CACVSO01.fna.faa	Rumen_CACVSX01.fna.faa	Rumen_CACWHG01.fna.faa	Rumen_CACWMC01.fna.faa	Rumen_CACWMY01.fna.faa	Rumen_CACWPH01.fna.faa	Rumen_CACYST01.fna.faa	Rumen_CADAEW01.fna.faa	Rumen_CADAIA01.fna.faa	Rumen_CADBJG01.fna.faa	Rumen_CADBNS01.fna.faa	baboon1.faa	maccaque1.faa	maccaque2.faa	maccaque3.faa	maccaque4.faa	maccaque5.faa	maccaque6.faa	maccaque7.faa
30	30	0.00741	Human_ERR414243_bin.4.fna_01428	Human_SRR5056681_bin.100.fna_01142	Human_SRR5056817_bin.33.fna_00679	Human_SRR5056841_bin.46.fna_01399	Human_SRR5056944_bin.12.fna_01141	Human_SRR5056994_bin.72.fna_00258	Human_SRR5558136_bin.38.fna_01090	Human_SRR6028624_bin.16.fna_00081	Rumen_CACVNT01.fna_01615	Rumen_CACVQO01.fna_01644	Rumen_CACVRV01.fna_00234	Rumen_CACVSO01.fna_01430	Rumen_CACVSX01.fna_01182	Rumen_CACWHG01.fna_01954	Rumen_CACWMC01.fna_01811	Rumen_CACWMY01.fna_01421	Rumen_CACWPH01.fna_01958	Rumen_CACYST01.fna_01882	Rumen_CADAEW01.fna_01476	Rumen_CADAIA01.fna_00091	Rumen_CADBJG01.fna_01424	Rumen_CADBNS01.fna_00656	baboon1_02034	maccaque1_00879	maccaque2_01645	maccaque3_01893	maccaque4_01634	maccaque5_01622	maccaque6_01777	maccaque7_01830
8	8	0.0122	*	*	*	*	*	*	*	*	Rumen_CACVNT01.fna_02623	*	Rumen_CACVRV01.fna_00842	Rumen_CACVSO01.fna_00465	Rumen_CACVSX01.fna_01031	*	*	*	Rumen_CACWPH01.fna_01192	Rumen_CACYST01.fna_00903	*	*	Rumen_CADBJG01.fna_01980	Rumen_CADBNS01.fna_01716	*	*	*	*	*	*	*	*
11	11	0.00283	*	Human_SRR5056681_bin.100.fna_00257	Human_SRR5056817_bin.33.fna_01418	Human_SRR5056841_bin.46.fna_00040	Human_SRR5056944_bin.12.fna_00626	Human_SRR5056994_bin.72.fna_00698	*	Human_SRR6028624_bin.16.fna_00157	*	Rumen_CACVQO01.fna_00076	*	*	*	*	*	*	Rumen_CACWPH01.fna_00476	*	*	*	*	*	*	maccaque1_00191	*	*	*	maccaque5_00092	maccaque6_00939	*
5	5	0.0473	*	*	*	*	*	*	*	*	Rumen_CACVNT01.fna_01860	*	*	Rumen_CACVSO01.fna_01385	*	Rumen_CACWHG01.fna_01252	*	*	*	*	Rumen_CADAEW01.fna_01738	*	*	Rumen_CADBNS01.fna_01884	*	*	*	*	*	*	*	*
6	6	0.0223	*	*	*	*	*	*	*	*	*	Rumen_CACVQO01.fna_00078	*	*	Rumen_CACVSX01.fna_01620	Rumen_CACWHG01.fna_01170	*	*	*	*	*	Rumen_CADAIA01.fna_01252	Rumen_CADBJG01.fna_02599	*	*	maccaque1_01526	*	*	*	*	*	*
24	24	0.0164	Human_ERR414243_bin.4.fna_01325	Human_SRR5056681_bin.100.fna_00088	Human_SRR5056817_bin.33.fna_00715	Human_SRR5056841_bin.46.fna_00865	Human_SRR5056944_bin.12.fna_00086	Human_SRR5056994_bin.72.fna_00617	Human_SRR5558136_bin.38.fna_01696	Human_SRR6028624_bin.16.fna_01011	*	Rumen_CACVQO01.fna_01021	Rumen_CACVRV01.fna_01662	Rumen_CACVSO01.fna_02060	*	Rumen_CACWHG01.fna_02092	*	Rumen_CACWMY01.fna_02335	Rumen_CACWPH01.fna_01695	*	*	*	Rumen_CADBJG01.fna_02436	Rumen_CADBNS01.fna_02051	baboon1_01637	maccaque1_01687	maccaque2_01292	maccaque3_01365	maccaque4_01716	maccaque5_01785	maccaque6_01679	maccaque7_01428
22	22	0.00191	*	*	*	*	*	*	Human_SRR5558136_bin.38.fna_00252	*	Rumen_CACVNT01.fna_01995	Rumen_CACVQO01.fna_00066	Rumen_CACVRV01.fna_00625	Rumen_CACVSO01.fna_01108	Rumen_CACVSX01.fna_01401	Rumen_CACWHG01.fna_01183	*	Rumen_CACWMY01.fna_00422	Rumen_CACWPH01.fna_01732	Rumen_CACYST01.fna_01035	Rumen_CADAEW01.fna_00316	Rumen_CADAIA01.fna_01165	Rumen_CADBJG01.fna_00351	Rumen_CADBNS01.fna_00266	baboon1_01372	maccaque1_01196	maccaque2_00729	maccaque3_00578	maccaque4_01381	maccaque5_01824	maccaque6_00857	maccaque7_00539
29	29	0.00571	Human_ERR414243_bin.4.fna_00511	Human_SRR5056681_bin.100.fna_00032	Human_SRR5056817_bin.33.fna_00856	Human_SRR5056841_bin.46.fna_00570	Human_SRR5056944_bin.12.fna_00030	Human_SRR5056994_bin.72.fna_00726	Human_SRR5558136_bin.38.fna_00860	Human_SRR6028624_bin.16.fna_00770	Rumen_CACVNT01.fna_01695	Rumen_CACVQO01.fna_01452	Rumen_CACVRV01.fna_01417	Rumen_CACVSO01.fna_01006	Rumen_CACVSX01.fna_02140	Rumen_CACWHG01.fna_01219	Rumen_CACWMC01.fna_00328	Rumen_CACWMY01.fna_01991	Rumen_CACWPH01.fna_02028	Rumen_CACYST01.fna_00389	Rumen_CADAEW01.fna_01348	Rumen_CADAIA01.fna_01984	Rumen_CADBJG01.fna_00819	Rumen_CADBNS01.fna_00310	baboon1_01925	maccaque1_01298	maccaque2_00917	maccaque3_01384	maccaque4_00656	maccaque5_00707	maccaque6_00597	*
26	26	0.00433	Human_ERR414243_bin.4.fna_01226	Human_SRR5056681_bin.100.fna_00992	Human_SRR5056817_bin.33.fna_01664	Human_SRR5056841_bin.46.fna_01968	Human_SRR5056944_bin.12.fna_01678	Human_SRR5056994_bin.72.fna_00498	Human_SRR5558136_bin.38.fna_01292	Human_SRR6028624_bin.16.fna_01783	*	Rumen_CACVQO01.fna_00382	Rumen_CACVRV01.fna_01680	*	Rumen_CACVSX01.fna_01670	*	Rumen_CACWMC01.fna_00670	*	Rumen_CACWPH01.fna_00353	Rumen_CACYST01.fna_00842	Rumen_CADAEW01.fna_00133	Rumen_CADAIA01.fna_01837	Rumen_CADBJG01.fna_01603	Rumen_CADBNS01.fna_01851	baboon1_00532	maccaque1_00668	maccaque2_01026	maccaque3_01465	maccaque4_00336	maccaque5_01087	maccaque6_00070	maccaque7_01510
7	7	0.0195	*	*	*	*	*	*	*	Human_SRR6028624_bin.16.fna_02041	Rumen_CACVNT01.fna_02727	*	*	Rumen_CACVSO01.fna_02088	*	*	*	*	*	*	*	*	Rumen_CADBJG01.fna_03795	*	*	*	*	maccaque3_00894	maccaque4_00186	*	*	maccaque7_00654
12	12	0.0152	*	Human_SRR5056681_bin.100.fna_01943	Human_SRR5056817_bin.33.fna_00123	Human_SRR5056841_bin.46.fna_01948	Human_SRR5056944_bin.12.fna_02021	Human_SRR5056994_bin.72.fna_01820	*	Human_SRR6028624_bin.16.fna_02122	*	Rumen_CACVQO01.fna_01044	Rumen_CACVRV01.fna_01795	*	Rumen_CACVSX01.fna_00741	*	*	*	Rumen_CACWPH01.fna_01676	Rumen_CACYST01.fna_01798	*	*	Rumen_CADBJG01.fna_03037	*	*	*	*	*	*	*	*	*
