locus_tag	ftype	length_bp	gene	EC_number	COG	product
Rumen_CACWMY01.fna_00001	CDS	3159				metal dependent phosphohydrolase
Rumen_CACWMY01.fna_00002	CDS	867				thioredoxin-disulfide reductase
Rumen_CACWMY01.fna_00003	CDS	312				thiol-disulfide isomerase and thioredoxin
Rumen_CACWMY01.fna_00004	CDS	444				MarR family transcriptional regulator
Rumen_CACWMY01.fna_00005	CDS	1179				riboflavin biosynthesis protein RibD 
Rumen_CACWMY01.fna_00006	CDS	642				riboflavin synthase subunit alpha 
Rumen_CACWMY01.fna_00007	CDS	789				hypothetical protein
Rumen_CACWMY01.fna_00008	CDS	1236				3,4-dihydroxy-2-butanone 4-phosphate synthase
Rumen_CACWMY01.fna_00009	CDS	468				6,7-dimethyl-8-ribityllumazine synthase
Rumen_CACWMY01.fna_00010	CDS	1428				MATE efflux family protein
Rumen_CACWMY01.fna_00011	CDS	1017				phosphate acetyltransferase
Rumen_CACWMY01.fna_00012	CDS	1659				hypothetical protein
Rumen_CACWMY01.fna_00013	CDS	927				transglutaminase domain-containing protein
Rumen_CACWMY01.fna_00014	CDS	873				hypothetical protein
Rumen_CACWMY01.fna_00015	CDS	678				LPXTG-site transpeptidase (sortase) family protein
Rumen_CACWMY01.fna_00016	CDS	813				hypothetical protein
Rumen_CACWMY01.fna_00017	CDS	663				tRNA (guanine-N(7)-)-methyltransferase 
Rumen_CACWMY01.fna_00018	CDS	282				hypothetical protein
Rumen_CACWMY01.fna_00019	CDS	525				pyrR; transcriptional attenuator and uracil phosphoribosyltransferase activity 
Rumen_CACWMY01.fna_00020	CDS	1269				dihydroorotase, multifunctional complex type 
Rumen_CACWMY01.fna_00021	CDS	927				orotidine 5'-phosphate decarboxylase, subfamily 2 
Rumen_CACWMY01.fna_00022	CDS	1113				carbamoyl-phosphate synthase small subunit 
Rumen_CACWMY01.fna_00023	CDS	3192				carbamoyl-phosphate synthase large subunit 
Rumen_CACWMY01.fna_00024	CDS	1917				mannan endo-1,4-beta-mannosidase 
Rumen_CACWMY01.fna_00025	CDS	567				ECF subfamily RNA polymerase sigma-24 factor
Rumen_CACWMY01.fna_00026	CDS	2247				hypothetical protein
Rumen_CACWMY01.fna_00027	CDS	786				putative polyferredoxin
Rumen_CACWMY01.fna_00028	CDS	927				cysteine synthase A 
Rumen_CACWMY01.fna_00029	CDS	402				transcriptional regulator, BadM/Rrf2 family
Rumen_CACWMY01.fna_00030	CDS	1101				chorismate synthase 
Rumen_CACWMY01.fna_00031	CDS	1023				3-deoxy-D-arabinoheptulosonate-7-phosphate synthase 
Rumen_CACWMY01.fna_00032	CDS	1371				asparaginyl-tRNA synthetase
Rumen_CACWMY01.fna_00033	CDS	1011				aspartate/ammonia ligase 
Rumen_CACWMY01.fna_00034	CDS	2028				arabinogalactan endo-1,4-beta-galactosidase 
Rumen_CACWMY01.fna_00035	CDS	1248				GTP-binding protein HflX
Rumen_CACWMY01.fna_00036	CDS	678				hypothetical protein
Rumen_CACWMY01.fna_00037	CDS	882				Disulfide bond chaperones of the HSP33 family protein
Rumen_CACWMY01.fna_00038	CDS	768				Methyltransferase domain.
Rumen_CACWMY01.fna_00039	CDS	966				hypothetical protein
Rumen_CACWMY01.fna_00040	CDS	2763				protein translocase subunit secA
Rumen_CACWMY01.fna_00041	CDS	1140				Suppressor of fused protein (SUFU).
Rumen_CACWMY01.fna_00042	CDS	660				hypothetical protein
Rumen_CACWMY01.fna_00043	CDS	642				haloacid dehalogenase superfamily, subfamily IA, variant 3 with third motif having DD or ED/haloacid dehalogenase superfamily, subfamily IA, variant 1 with third motif having Dx(3-4)D or Dx(3-4)E 
Rumen_CACWMY01.fna_00044	CDS	1134				tRNA-guanine transglycosylase 
Rumen_CACWMY01.fna_00045	CDS	459				hypothetical protein
Rumen_CACWMY01.fna_00046	CDS	372				hypothetical protein
Rumen_CACWMY01.fna_00047	CDS	1032				S-adenosylmethionine--tRNA ribosyltransferase-isomerase 
Rumen_CACWMY01.fna_00048	CDS	693				putative DNA alkylation repair enzyme
Rumen_CACWMY01.fna_00049	CDS	1080				aspartate semialdehyde dehydrogenase 
Rumen_CACWMY01.fna_00050	CDS	891				dihydrodipicolinate synthase 
Rumen_CACWMY01.fna_00051	CDS	756				dihydrodipicolinate reductase 
Rumen_CACWMY01.fna_00052	CDS	990				diaminopimelate dehydrogenase 
Rumen_CACWMY01.fna_00053	CDS	435				hypothetical protein
Rumen_CACWMY01.fna_00054	CDS	240				formate C-acetyltransferase glycine radical
Rumen_CACWMY01.fna_00055	CDS	213				hypothetical protein
Rumen_CACWMY01.fna_00056	CDS	2124				formate acetyltransferase 
Rumen_CACWMY01.fna_00057	CDS	1248				hypothetical protein
Rumen_CACWMY01.fna_00058	CDS	1791				diguanylate cyclase
Rumen_CACWMY01.fna_00059	CDS	519				putative membrane protein
Rumen_CACWMY01.fna_00060	CDS	1830				ATP-dependent metalloprotease FtsH 
Rumen_CACWMY01.fna_00061	CDS	894				hypothetical protein
Rumen_CACWMY01.fna_00062	CDS	999				DNA replication protein
Rumen_CACWMY01.fna_00063	CDS	942				DnaD and phage-associated domain protein
Rumen_CACWMY01.fna_00064	CDS	348				hypothetical protein
Rumen_CACWMY01.fna_00065	CDS	1419				glycoside hydrolase family protein
Rumen_CACWMY01.fna_00066	CDS	966				hypothetical protein
Rumen_CACWMY01.fna_00067	CDS	900				hypothetical protein
Rumen_CACWMY01.fna_00068	CDS	912				hypothetical protein
Rumen_CACWMY01.fna_00069	CDS	1209				adenylosuccinate synthase
Rumen_CACWMY01.fna_00070	CDS	1920				Serine protease inhibitor
Rumen_CACWMY01.fna_00071	CDS	93				hypothetical protein
Rumen_CACWMY01.fna_00072	CDS	1464				anthranilate synthase, component I 
Rumen_CACWMY01.fna_00073	CDS	561				anthranilate/para-aminobenzoate synthase component II, TrpG
Rumen_CACWMY01.fna_00074	CDS	1020				anthranilate phosphoribosyltransferase 
Rumen_CACWMY01.fna_00075	CDS	786				Indole-3-glycerol phosphate synthase 
Rumen_CACWMY01.fna_00076	CDS	603				Phosphoribosylanthranilate isomerase 
Rumen_CACWMY01.fna_00077	CDS	1191				tryptophan synthase subunit beta
Rumen_CACWMY01.fna_00078	CDS	771				tryptophan synthase, alpha chain 
Rumen_CACWMY01.fna_00079	CDS	663				hypothetical protein
Rumen_CACWMY01.fna_00080	CDS	1029				diguanylate cyclase
Rumen_CACWMY01.fna_00081	CDS	753				hypothetical protein
Rumen_CACWMY01.fna_00082	tmRNA	370	ssrA			transfer-messenger RNA, SsrA
Rumen_CACWMY01.fna_00083	CDS	492				sigV; DNA-directed RNA polymerase specialized sigma subunit
Rumen_CACWMY01.fna_00084	CDS	2067				hypothetical protein
Rumen_CACWMY01.fna_00085	CDS	1380				MATE efflux family protein
Rumen_CACWMY01.fna_00086	CDS	750				AraC-type DNA-binding domain-containing proteins
Rumen_CACWMY01.fna_00087	CDS	1884				pullulanase, type I 
Rumen_CACWMY01.fna_00088	tRNA	90				tRNA-Ser(gct)
Rumen_CACWMY01.fna_00089	tRNA	89				tRNA-Ser(tga)
