locus_tag	ftype	length_bp	gene	EC_number	COG	product
Rumen_CACVQO01.fna_00001	CDS	180				hypothetical protein
Rumen_CACVQO01.fna_00002	CDS	171				hypothetical protein
Rumen_CACVQO01.fna_00003	CDS	483				hypothetical protein
Rumen_CACVQO01.fna_00004	CDS	861				hypothetical protein
Rumen_CACVQO01.fna_00005	CDS	120				hypothetical protein
Rumen_CACVQO01.fna_00006	CDS	1572				Site-specific recombinases, DNA invertase Pin homologs
Rumen_CACVQO01.fna_00007	CDS	1911				Thermolysin 
Rumen_CACVQO01.fna_00008	CDS	732				hypothetical protein
Rumen_CACVQO01.fna_00009	CDS	810				metallo-beta-lactamase family protein
Rumen_CACVQO01.fna_00010	CDS	1104				Gp37Gp68 family protein
Rumen_CACVQO01.fna_00011	CDS	3309				hypothetical protein
Rumen_CACVQO01.fna_00012	CDS	609				N-acetylmuramoyl-L-alanine amidase 
Rumen_CACVQO01.fna_00013	CDS	1848				Cysteine protease
Rumen_CACVQO01.fna_00014	CDS	660				thymidylate kinase 
Rumen_CACVQO01.fna_00015	CDS	1098				chorismate synthase 
Rumen_CACVQO01.fna_00016	CDS	2964				carbohydrate-binding CenC domain-containing protein
Rumen_CACVQO01.fna_00017	CDS	732				RNA polymerase, sigma 28 subunit, SigI
Rumen_CACVQO01.fna_00018	CDS	1158				hypothetical protein
Rumen_CACVQO01.fna_00019	CDS	783				hypothetical protein
Rumen_CACVQO01.fna_00020	CDS	1935				beta-glucosidase-like glycosyl hydrolase
Rumen_CACVQO01.fna_00021	CDS	2520				hypothetical protein
Rumen_CACVQO01.fna_00022	CDS	507				RNA polymerase sigma factor, sigma-70 family
Rumen_CACVQO01.fna_00023	CDS	966				ROK family protein (putative glucokinase) 
Rumen_CACVQO01.fna_00024	CDS	966				mannose-6-phosphate isomerase, type 1 
Rumen_CACVQO01.fna_00025	CDS	1497				hypothetical protein
Rumen_CACVQO01.fna_00026	CDS	585				ECF subfamily RNA polymerase sigma-24 factor
Rumen_CACVQO01.fna_00027	CDS	543				transcriptional regulator, AbrB family
Rumen_CACVQO01.fna_00028	CDS	735				hypothetical protein
Rumen_CACVQO01.fna_00029	CDS	1023				hypothetical protein
Rumen_CACVQO01.fna_00030	CDS	2547				coagulation factor 5/8 type domain-containing protein
Rumen_CACVQO01.fna_00031	CDS	891				dTDP-4-dehydrorhamnose reductase
Rumen_CACVQO01.fna_00032	CDS	1029				dTDP-glucose 4,6-dehydratase
Rumen_CACVQO01.fna_00033	CDS	552				dTDP-4-dehydrorhamnose 3,5-epimerase 
Rumen_CACVQO01.fna_00034	CDS	888				glucose-1-phosphate thymidylyltransferase
Rumen_CACVQO01.fna_00035	CDS	171				hypothetical protein
Rumen_CACVQO01.fna_00036	CDS	468				N-acetyltransferase GCN5
Rumen_CACVQO01.fna_00037	CDS	1299				hypothetical protein
Rumen_CACVQO01.fna_00038	CDS	1554				Exopolyphosphatase-related proteins
Rumen_CACVQO01.fna_00039	CDS	303				hypothetical protein
Rumen_CACVQO01.fna_00040	CDS	99				hypothetical protein
Rumen_CACVQO01.fna_00041	CDS	735				hypothetical protein
Rumen_CACVQO01.fna_00042	CDS	342				recombinase
Rumen_CACVQO01.fna_00043	CDS	201				hypothetical protein
Rumen_CACVQO01.fna_00044	CDS	1257				ATPase AAA
Rumen_CACVQO01.fna_00045	CDS	549	lgt	2.4.99.-		Prolipoprotein diacylglyceryl transferase
Rumen_CACVQO01.fna_00046	CDS	1047				diguanylate cyclase
Rumen_CACVQO01.fna_00047	CDS	3039				GGDEF/EAL/PAS domain-containing protein
Rumen_CACVQO01.fna_00048	CDS	90				hypothetical protein
Rumen_CACVQO01.fna_00049	CDS	252				hypothetical protein
Rumen_CACVQO01.fna_00050	CDS	114				hypothetical protein
Rumen_CACVQO01.fna_00051	CDS	702				Phage shock protein A (IM30), suppresses sigma54-dependent transcription
Rumen_CACVQO01.fna_00052	CDS	282				prevent-host-death family protein
Rumen_CACVQO01.fna_00053	CDS	855				PP-loop domain-containing protein
Rumen_CACVQO01.fna_00054	CDS	675				GntR family transcriptional regulator
Rumen_CACVQO01.fna_00055	CDS	723				putative proteins, LmbE homologs
