locus_tag	ftype	length_bp	gene	EC_number	COG	product
Rumen_CACWHG01.fna_00001	CDS	567				Fe-S cluster domain-containing protein
Rumen_CACWHG01.fna_00002	CDS	636				Fe-S cluster domain-containing protein
Rumen_CACWHG01.fna_00003	CDS	570				hypothetical protein
Rumen_CACWHG01.fna_00004	CDS	813				transposase mutator type
Rumen_CACWHG01.fna_00005	CDS	96				hypothetical protein
Rumen_CACWHG01.fna_00006	CDS	867				hypothetical protein
Rumen_CACWHG01.fna_00007	CDS	915				hypothetical protein
Rumen_CACWHG01.fna_00008	CDS	912				hypothetical protein
Rumen_CACWHG01.fna_00009	CDS	687				response regulator with CheY-like receiver domain and winged-helix DNA-binding domain protein
Rumen_CACWHG01.fna_00010	CDS	1524				histidine kinase
Rumen_CACWHG01.fna_00011	CDS	3948				Beta-xylosidase
Rumen_CACWHG01.fna_00012	CDS	678				hypothetical protein
Rumen_CACWHG01.fna_00013	CDS	1659				diguanylate cyclase (GGDEF) domain protein
Rumen_CACWHG01.fna_00014	CDS	1695				diguanylate cyclase/phosphodiesterase
Rumen_CACWHG01.fna_00015	CDS	561				Acetyltransferases, including N-acetylases of ribosomal proteins
Rumen_CACWHG01.fna_00016	CDS	639				CAAX amino terminal protease family protein
Rumen_CACWHG01.fna_00017	CDS	168				hypothetical protein
Rumen_CACWHG01.fna_00018	CDS	891				CAAX amino terminal protease family protein
Rumen_CACWHG01.fna_00019	tRNA	75				tRNA-Cys(gca)
Rumen_CACWHG01.fna_00020	tRNA	76				tRNA-Gly(gcc)
Rumen_CACWHG01.fna_00021	tRNA	77				tRNA-Asp(gtc)
Rumen_CACWHG01.fna_00022	tRNA	76				tRNA-Val(tac)
Rumen_CACWHG01.fna_00023	CDS	642				SAM-dependent methyltransferase
Rumen_CACWHG01.fna_00024	CDS	3390				pectate lyase
Rumen_CACWHG01.fna_00025	CDS	1839				glucosamine/fructose-6-phosphate aminotransferase
Rumen_CACWHG01.fna_00026	CDS	213				Beta-propeller domains of methanol dehydrogenase type
Rumen_CACWHG01.fna_00027	CDS	1092				hypothetical protein
Rumen_CACWHG01.fna_00028	CDS	1476				Putative virion core protein (lumpy skin disease virus)
Rumen_CACWHG01.fna_00029	CDS	342				arsenate reductase-like protein
Rumen_CACWHG01.fna_00030	CDS	2778				beta-glucosidase 
Rumen_CACWHG01.fna_00031	CDS	882				Undecaprenyl-diphosphatase 
Rumen_CACWHG01.fna_00032	CDS	663				hypothetical protein
Rumen_CACWHG01.fna_00033	CDS	264				hypothetical protein
Rumen_CACWHG01.fna_00034	CDS	555				hypothetical protein
Rumen_CACWHG01.fna_00035	CDS	1668				FHA domain-containing protein
Rumen_CACWHG01.fna_00036	CDS	2388				ATPase, P-type (transporting), HAD superfamily, subfamily IC
Rumen_CACWHG01.fna_00037	CDS	2508				copper-(or silver)-translocating P-type ATPase 
Rumen_CACWHG01.fna_00038	CDS	585				BioY protein
Rumen_CACWHG01.fna_00039	CDS	384				hypothetical protein
Rumen_CACWHG01.fna_00040	CDS	546				hypothetical protein
Rumen_CACWHG01.fna_00041	CDS	252				hypothetical protein
Rumen_CACWHG01.fna_00042	CDS	1116				phosphonopyruvate decarboxylase
Rumen_CACWHG01.fna_00043	CDS	1191				hypothetical protein
Rumen_CACWHG01.fna_00044	CDS	774				licC domain protein
Rumen_CACWHG01.fna_00045	CDS	1005				Nucleoside-diphosphate-sugar epimerases
Rumen_CACWHG01.fna_00046	CDS	747				putative phosphoesterase
Rumen_CACWHG01.fna_00047	CDS	1299				phosphoenolpyruvate phosphomutase
Rumen_CACWHG01.fna_00048	CDS	807				protein of unknown function
Rumen_CACWHG01.fna_00049	CDS	279				transcriptional regulator ArsR family protein
Rumen_CACWHG01.fna_00050	CDS	675				hypothetical protein
Rumen_CACWHG01.fna_00051	CDS	546				putative transcriptional regulators
Rumen_CACWHG01.fna_00052	CDS	1674				Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases 
Rumen_CACWHG01.fna_00053	CDS	618				HipB; putative transcriptional regulator
Rumen_CACWHG01.fna_00054	CDS	633				hypothetical protein
Rumen_CACWHG01.fna_00055	CDS	2175				Sulfate permease (MFS superfamily)
Rumen_CACWHG01.fna_00056	CDS	1320				putative domain HDIG 
Rumen_CACWHG01.fna_00057	CDS	744				pyruvate formate-lyase activating enzyme 
Rumen_CACWHG01.fna_00058	CDS	780				L-lactate dehydrogenase 
Rumen_CACWHG01.fna_00059	CDS	1092				transglutaminase domain-containing protein
Rumen_CACWHG01.fna_00060	CDS	1098				transglutaminase domain-containing protein
Rumen_CACWHG01.fna_00061	CDS	2244				DNA topoisomerase 
Rumen_CACWHG01.fna_00062	CDS	2037				Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit 
Rumen_CACWHG01.fna_00063	CDS	417				FOG: FHA domain protein
Rumen_CACWHG01.fna_00064	CDS	1284				Bacterial cell division membrane protein
Rumen_CACWHG01.fna_00065	CDS	1356				Cell division protein FtsI/penicillin-binding protein 2
Rumen_CACWHG01.fna_00066	CDS	528				ribosomal subunit interface protein
Rumen_CACWHG01.fna_00067	CDS	672				hypothetical protein
Rumen_CACWHG01.fna_00068	CDS	963				hypothetical protein
Rumen_CACWHG01.fna_00069	CDS	2091				L-glutamine synthetase 
Rumen_CACWHG01.fna_00070	CDS	1686				sulfate transporter
Rumen_CACWHG01.fna_00071	CDS	2406				ATPases with chaperone activity, ATP-binding subunit
Rumen_CACWHG01.fna_00072	CDS	141				hypothetical protein
Rumen_CACWHG01.fna_00073	CDS	2622				coagulation factor 5/8 type domain protein
Rumen_CACWHG01.fna_00074	CDS	2940				putative beta-xylosidase
Rumen_CACWHG01.fna_00075	CDS	1449				glutamyl-tRNA synthetase 
Rumen_CACWHG01.fna_00076	CDS	1539				asparagine synthase 
Rumen_CACWHG01.fna_00077	CDS	1002				glycerol 3-phosphate dehydrogenase (NAD(P)+) 
Rumen_CACWHG01.fna_00078	CDS	675				hypothetical protein
Rumen_CACWHG01.fna_00079	CDS	1329				ribosome-associated GTPase EngA
Rumen_CACWHG01.fna_00080	CDS	636				Cell wall assembly/cell proliferation coordinating protein, KNR4
Rumen_CACWHG01.fna_00081	CDS	771				hypothetical protein
Rumen_CACWHG01.fna_00082	CDS	1302				hypothetical protein
Rumen_CACWHG01.fna_00083	CDS	186				LSU ribosomal protein L32P
Rumen_CACWHG01.fna_00084	CDS	459				hypothetical protein
Rumen_CACWHG01.fna_00085	CDS	408				hypothetical protein
Rumen_CACWHG01.fna_00086	CDS	1377				glucose-6-phosphate isomerase 
Rumen_CACWHG01.fna_00087	CDS	1140				D-alanyl-D-alanine carboxypeptidase 
Rumen_CACWHG01.fna_00088	CDS	972				D-alanyl-D-alanine carboxypeptidase 
Rumen_CACWHG01.fna_00089	CDS	1221				sodium ion-translocating decarboxylase, beta subunit 
Rumen_CACWHG01.fna_00090	CDS	399				glutaconyl-CoA decarboxylase subunit gamma
Rumen_CACWHG01.fna_00091	CDS	387				hypothetical protein
Rumen_CACWHG01.fna_00092	CDS	1398				hypothetical protein
Rumen_CACWHG01.fna_00093	CDS	2562				small GTP-binding protein domain protein
Rumen_CACWHG01.fna_00094	CDS	540				hypothetical protein
Rumen_CACWHG01.fna_00095	CDS	780				Short-chain dehydrogenases of various substrate specificities
Rumen_CACWHG01.fna_00096	CDS	1107				hypothetical protein
Rumen_CACWHG01.fna_00097	CDS	1383				putative membrane protein involved in D-alanine export
Rumen_CACWHG01.fna_00098	CDS	600				RNAse M5 
Rumen_CACWHG01.fna_00099	CDS	1095				DNA polymerase III, delta subunit
Rumen_CACWHG01.fna_00100	CDS	2022				ComEC/Rec2-like protein
Rumen_CACWHG01.fna_00101	CDS	540				phosphoribosyltransferase
Rumen_CACWHG01.fna_00102	CDS	354				Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases
Rumen_CACWHG01.fna_00103	CDS	2631				alanyl-tRNA synthetase 
Rumen_CACWHG01.fna_00104	CDS	1608				Cell division protein FtsI/penicillin-binding protein 2 
Rumen_CACWHG01.fna_00105	CDS	435				D-tyrosyl-tRNA(Tyr) deacylase 
Rumen_CACWHG01.fna_00106	CDS	1971				beta-galactosidase 
Rumen_CACWHG01.fna_00107	CDS	537				Fructose-2,6-bisphosphatase 
Rumen_CACWHG01.fna_00108	CDS	1662				DNA repair protein RecN
Rumen_CACWHG01.fna_00109	CDS	444				transcriptional regulator, ArgR family
Rumen_CACWHG01.fna_00110	CDS	855				putative sugar kinase 
Rumen_CACWHG01.fna_00111	CDS	786				putative ribosomal RNA large subunit methyltransferase
Rumen_CACWHG01.fna_00112	CDS	1896				1-deoxy-D-xylulose-5-phosphate synthase 
Rumen_CACWHG01.fna_00113	CDS	891				farnesyl-diphosphate synthase 
Rumen_CACWHG01.fna_00114	CDS	183				Exodeoxyribonuclease VII small subunit 
Rumen_CACWHG01.fna_00115	CDS	1191				exodeoxyribonuclease VII, large subunit 
Rumen_CACWHG01.fna_00116	CDS	945				peptidase M22 glycoprotease
Rumen_CACWHG01.fna_00117	CDS	411				transcription antitermination factor NusB
Rumen_CACWHG01.fna_00118	CDS	336				hypothetical protein
Rumen_CACWHG01.fna_00119	CDS	561				hypothetical protein
Rumen_CACWHG01.fna_00120	CDS	528				hypothetical protein
Rumen_CACWHG01.fna_00121	CDS	477				hypothetical protein
Rumen_CACWHG01.fna_00122	CDS	1095				Stage III sporulation protein AE (spore_III_AE).
Rumen_CACWHG01.fna_00123	CDS	402				Stage III sporulation protein AC/AD protein family.
Rumen_CACWHG01.fna_00124	CDS	198				stage III sporulation protein AC
Rumen_CACWHG01.fna_00125	CDS	390				hypothetical protein
Rumen_CACWHG01.fna_00126	CDS	984				hypothetical protein
Rumen_CACWHG01.fna_00127	CDS	894				ABC-type sugar transport system, permease component
Rumen_CACWHG01.fna_00128	CDS	1068				ABC-type sugar transport systems, permease components
Rumen_CACWHG01.fna_00129	CDS	1455				hypothetical protein
Rumen_CACWHG01.fna_00130	CDS	2292				Cysteine protease
Rumen_CACWHG01.fna_00131	CDS	240				hypothetical protein
Rumen_CACWHG01.fna_00132	CDS	777				hypothetical protein
Rumen_CACWHG01.fna_00133	CDS	837				putative metal-dependent phosphoesterases (PHP family)
Rumen_CACWHG01.fna_00134	CDS	822				hypothetical protein
Rumen_CACWHG01.fna_00135	CDS	723				putative O-methyltransferase
Rumen_CACWHG01.fna_00136	CDS	378				ADP-ribose pyrophosphatase 
Rumen_CACWHG01.fna_00137	CDS	513				isochorismatase hydrolase
Rumen_CACWHG01.fna_00138	CDS	1077				tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase 
Rumen_CACWHG01.fna_00139	CDS	657				haloacid dehalogenase superfamily, subfamily IA, variant 3 with third motif having DD or ED/haloacid dehalogenase superfamily, subfamily IA, variant 1 with third motif having Dx(3-4)D or Dx(3-4)E
Rumen_CACWHG01.fna_00140	CDS	921				hypothetical protein
Rumen_CACWHG01.fna_00141	CDS	1299				putative nucleotidyltransferase
Rumen_CACWHG01.fna_00142	CDS	1200				acetate kinase 
Rumen_CACWHG01.fna_00143	CDS	1482				hypothetical protein
Rumen_CACWHG01.fna_00144	CDS	1323				biotin carboxylase
Rumen_CACWHG01.fna_00145	CDS	2238				DEAD/DEAH box helicase
Rumen_CACWHG01.fna_00146	CDS	258				Copper chaperone
Rumen_CACWHG01.fna_00147	CDS	651				H(+)-transporting ATP synthase, vacuolar type, subunit D 
Rumen_CACWHG01.fna_00148	CDS	1377				Archaeal/vacuolar-type H+-ATPase subunit B 
Rumen_CACWHG01.fna_00149	CDS	1770				Archaeal/vacuolar-type H+-ATPase subunit A 
Rumen_CACWHG01.fna_00150	CDS	321				Archaeal/vacuolar-type H+-ATPase subunit F 
Rumen_CACWHG01.fna_00151	CDS	939				Archaeal/vacuolar-type H+-ATPase subunit C 
Rumen_CACWHG01.fna_00152	CDS	603				Archaeal/vacuolar-type H+-ATPase subunit E 
Rumen_CACWHG01.fna_00153	CDS	474				ATP synthase subunit C. 
Rumen_CACWHG01.fna_00154	CDS	1974				Archaeal/vacuolar-type H+-ATPase subunit I 
Rumen_CACWHG01.fna_00155	CDS	312				hypothetical protein
Rumen_CACWHG01.fna_00156	CDS	441				putative acetyltransferase
Rumen_CACWHG01.fna_00157	CDS	546				hypothetical protein
Rumen_CACWHG01.fna_00158	CDS	864				Thioredoxin reductase 
Rumen_CACWHG01.fna_00159	CDS	309				thioredoxin
Rumen_CACWHG01.fna_00160	CDS	435				MarR family transcriptional regulator
Rumen_CACWHG01.fna_00161	CDS	747				hypothetical protein
Rumen_CACWHG01.fna_00162	CDS	1971				arabinogalactan endo-1,4-beta-galactosidase 
Rumen_CACWHG01.fna_00163	CDS	399				hypothetical protein
Rumen_CACWHG01.fna_00164	CDS	1011				aspartate/ammonia ligase 
Rumen_CACWHG01.fna_00165	CDS	906				hypothetical protein
Rumen_CACWHG01.fna_00166	CDS	324				hypothetical protein
Rumen_CACWHG01.fna_00167	CDS	1371				asparaginyl-tRNA synthetase
Rumen_CACWHG01.fna_00168	CDS	363				camphor resistance protein CrcB
Rumen_CACWHG01.fna_00169	CDS	1029				phospho-2-dehydro-3-deoxyheptonate aldolase 
Rumen_CACWHG01.fna_00170	CDS	1128				chorismate synthase 
Rumen_CACWHG01.fna_00171	CDS	435				transcriptional regulator, BadM/Rrf2 family
Rumen_CACWHG01.fna_00172	CDS	498				7-cyano-7-deazaguanine reductase 
Rumen_CACWHG01.fna_00173	CDS	702				exsB protein
Rumen_CACWHG01.fna_00174	CDS	444				hypothetical protein
Rumen_CACWHG01.fna_00175	CDS	249				hypothetical protein
Rumen_CACWHG01.fna_00176	CDS	558				GTP cyclohydrolase I 
Rumen_CACWHG01.fna_00177	CDS	660				Organic radical activating enzymes
Rumen_CACWHG01.fna_00178	CDS	426				6-pyruvoyl-tetrahydropterin synthase
Rumen_CACWHG01.fna_00179	CDS	357				anti-sigma factor antagonist
Rumen_CACWHG01.fna_00180	CDS	594				hypothetical protein
Rumen_CACWHG01.fna_00181	CDS	2250				hypothetical protein
Rumen_CACWHG01.fna_00182	CDS	540				hypothetical protein
Rumen_CACWHG01.fna_00183	CDS	543				acpD; acyl carrier protein phosphodiesterase AcpD
Rumen_CACWHG01.fna_00184	CDS	789				alpha/beta hydrolase
Rumen_CACWHG01.fna_00185	CDS	1425				diguanylate cyclase
Rumen_CACWHG01.fna_00186	CDS	168				hypothetical protein
Rumen_CACWHG01.fna_00187	CDS	1302				hypothetical protein
Rumen_CACWHG01.fna_00188	CDS	327				glycosyl transferase family protein
Rumen_CACWHG01.fna_00189	CDS	1344				ABC transporter permease
Rumen_CACWHG01.fna_00190	CDS	1608				exoenzyme regulatory protein
Rumen_CACWHG01.fna_00191	CDS	1716				hypothetical protein
Rumen_CACWHG01.fna_00192	CDS	297				putative anti-anti-sigma factor
Rumen_CACWHG01.fna_00193	CDS	723				glycosyl transferase, group 2 family protein
Rumen_CACWHG01.fna_00194	CDS	609				putative phosphoesterase
Rumen_CACWHG01.fna_00195	CDS	1143				diguanylate cyclase (GGDEF) domain protein
Rumen_CACWHG01.fna_00196	CDS	1701				von Willebrand factor type A
Rumen_CACWHG01.fna_00197	CDS	687				hypothetical protein
Rumen_CACWHG01.fna_00198	CDS	2622				valyl-tRNA synthetase 
Rumen_CACWHG01.fna_00199	CDS	348				MmcQ protein
Rumen_CACWHG01.fna_00200	CDS	531				N-acetyltransferase GCN5
Rumen_CACWHG01.fna_00201	CDS	303				Stress responsive A/B Barrel Domain.
Rumen_CACWHG01.fna_00202	CDS	1266				folylpolyglutamate synthase/dihydrofolate synthase 
Rumen_CACWHG01.fna_00203	CDS	483				glutamate dehydrogenase (NADP) 
Rumen_CACWHG01.fna_00204	CDS	915				glutamate dehydrogenase (NADP) 
Rumen_CACWHG01.fna_00205	CDS	1083				6-phosphofructokinase 
Rumen_CACWHG01.fna_00206	CDS	486				hypothetical protein
Rumen_CACWHG01.fna_00207	CDS	2232				PAS/PAC sensor-containing diguanylate cyclase/phosphodiesterase
Rumen_CACWHG01.fna_00208	CDS	678				Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain protein
Rumen_CACWHG01.fna_00209	CDS	1365				Signal transduction histidine kinase
Rumen_CACWHG01.fna_00210	CDS	1791				glycoside hydrolase family protein
Rumen_CACWHG01.fna_00211	CDS	879				AraC-type DNA-binding domain-containing proteins
Rumen_CACWHG01.fna_00212	CDS	366				hypothetical protein
Rumen_CACWHG01.fna_00213	CDS	1017				hypothetical protein
Rumen_CACWHG01.fna_00214	CDS	762				alpha/beta hydrolase fold protein
Rumen_CACWHG01.fna_00215	CDS	723				RNA polymerase, sigma 28 subunit, SigI
Rumen_CACWHG01.fna_00216	CDS	993				hypothetical protein
Rumen_CACWHG01.fna_00217	CDS	693				hypothetical protein
Rumen_CACWHG01.fna_00218	CDS	1005				hypothetical protein
Rumen_CACWHG01.fna_00219	CDS	1821				S-layer protein
Rumen_CACWHG01.fna_00220	CDS	873				cobalt ABC transporter permease CbiQ
Rumen_CACWHG01.fna_00221	CDS	1635				cbiO5; cobalt ABC transport system ATP-binding protein CbiO5
Rumen_CACWHG01.fna_00222	CDS	687				putative membrane protein
Rumen_CACWHG01.fna_00223	CDS	717				5'/3'-nucleotidase 
Rumen_CACWHG01.fna_00224	CDS	540				Rubrerythrin
Rumen_CACWHG01.fna_00225	CDS	948				RluA family pseudouridine synthase
Rumen_CACWHG01.fna_00226	CDS	1521				glycoside hydrolase family protein
Rumen_CACWHG01.fna_00227	CDS	3324				ATP-dependent nuclease, subunit B
Rumen_CACWHG01.fna_00228	CDS	3621				recombination helicase AddA, Firmicutes type 
Rumen_CACWHG01.fna_00229	CDS	1455				hypothetical protein
Rumen_CACWHG01.fna_00230	CDS	111				hypothetical protein
Rumen_CACWHG01.fna_00231	CDS	951				ABC transporter-like protein
