locus_tag	ftype	length_bp	gene	EC_number	COG	product
maccaque6_00001	CDS	1302				UDP-N-acetylglucosamine 1-carboxyvinyltransferase
maccaque6_00002	CDS	783				Peptidyl-prolyl cis-trans isomerase (rotamase)-cyclophilin family protein
maccaque6_00003	CDS	825				Peptidyl-prolyl cis-trans isomerase (rotamase)-cyclophilin family protein
maccaque6_00004	CDS	903				hypothetical protein
maccaque6_00005	CDS	303				hypothetical protein
maccaque6_00006	CDS	726				Enoyl-CoA hydratase/carnithine racemase 
maccaque6_00007	CDS	513				hypothetical protein
maccaque6_00008	CDS	720				Enoyl-CoA hydratase/carnithine racemase 
maccaque6_00009	CDS	1137				3-hydroxyacyl-CoA dehydrogenase NAD-binding protein
maccaque6_00010	CDS	1221				3-oxoacyl-(acyl-carrier-protein) synthase 
maccaque6_00011	CDS	354				hypothetical protein
maccaque6_00012	CDS	1134				Dienelactone hydrolase
maccaque6_00013	CDS	1569				Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II
maccaque6_00014	CDS	252				Acyl carrier protein
maccaque6_00015	CDS	693				Thioesterase
maccaque6_00016	CDS	348				putative transcriptional regulators
maccaque6_00017	CDS	2427				glycogen/starch/alpha-glucan phosphorylases 
maccaque6_00018	CDS	1863				Glycosidases 
maccaque6_00019	CDS	1296				L-glutamine synthetase 
maccaque6_00020	CDS	570				ANTAR domain-containing protein
maccaque6_00021	CDS	1266				O-acetylhomoserine/O-acetylserine sulfhydrylase 
maccaque6_00022	CDS	372				hypothetical protein
maccaque6_00023	CDS	540				O-6-methylguanine DNA methyltransferase
maccaque6_00024	CDS	504				hypothetical protein
maccaque6_00025	CDS	264				hypothetical protein
maccaque6_00026	CDS	246				hypothetical protein
maccaque6_00027	CDS	2064				hypothetical protein
maccaque6_00028	CDS	564				membrane-associated phospholipid phosphatase
maccaque6_00029	CDS	1305				Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase.
maccaque6_00030	CDS	720				Response regulator of the LytR/AlgR family protein
maccaque6_00031	CDS	1464				recombinase
maccaque6_00032	CDS	390				ABC transporter permease
maccaque6_00033	CDS	2262				hypothetical protein
maccaque6_00034	CDS	546				hypothetical protein
maccaque6_00035	CDS	915				hypothetical protein
maccaque6_00036	CDS	342				macrophage migration inhibitory factor family protein
maccaque6_00037	CDS	1839				glutamine--fructose-6-phosphate transaminase 
maccaque6_00038	CDS	1020				hypothetical protein
maccaque6_00039	CDS	864				hydro-lyase, tartrate/fumarate family
maccaque6_00040	CDS	510				tartrate/fumarate family protein
maccaque6_00041	CDS	1134				hypothetical protein
maccaque6_00042	CDS	903				hypothetical protein
maccaque6_00043	CDS	1137				phosphonopyruvate decarboxylase
maccaque6_00044	CDS	960				aflatoxin B1 aldehyde reductase member 2-like protein
maccaque6_00045	CDS	1341				MmgE/PrpD family protein
maccaque6_00046	CDS	1227				purD domain protein
maccaque6_00047	CDS	1446				Membrane protein involved in the export of O-antigen and teichoic acid
maccaque6_00048	CDS	1275				O-Antigen ligase
maccaque6_00049	CDS	636				hypothetical protein
maccaque6_00050	CDS	570				acetyltransferase
maccaque6_00051	CDS	1269				DegT/DnrJ/EryC1/StrS family aminotransferase
maccaque6_00052	CDS	261				hypothetical protein
maccaque6_00053	CDS	1554				ABC transporter
maccaque6_00054	CDS	555				hypothetical protein
maccaque6_00055	CDS	3426				putative protein containing a von Willebrand factor type A (vWA) domain protein
maccaque6_00056	CDS	294				hypothetical protein
maccaque6_00057	CDS	9336				YD repeat-containing protein
maccaque6_00058	CDS	1104				hypothetical protein
maccaque6_00059	CDS	234				hypothetical protein
maccaque6_00060	CDS	204				hypothetical protein
maccaque6_00061	CDS	531				hypothetical protein
maccaque6_00062	CDS	153				hypothetical protein
maccaque6_00063	CDS	1200				peptidase
maccaque6_00064	CDS	567				hypothetical protein
maccaque6_00065	CDS	1071				pilus retraction protein PilT
maccaque6_00066	CDS	1674				Type II secretory pathway, ATPase PulE/Tfp pilus assembly pathway, ATPase PilB
maccaque6_00067	CDS	834				Type II secretory pathway, prepilin signal peptidase PulO 
maccaque6_00068	CDS	1062				hypothetical protein
maccaque6_00069	CDS	393				hypothetical protein
maccaque6_00070	CDS	2682				hypothetical protein
maccaque6_00071	CDS	786				General secretion pathway, M protein.
maccaque6_00072	CDS	1602				Competence protein A.
maccaque6_00073	CDS	1203				Type II secretory pathway, component PulF
maccaque6_00074	CDS	1830				Asparagine synthetase 
maccaque6_00075	CDS	324				PadR-like family transcriptional regulator
maccaque6_00076	CDS	645				hypothetical protein
maccaque6_00077	CDS	831				hypothetical protein
maccaque6_00078	CDS	1437				hypothetical protein
maccaque6_00079	CDS	2397				chitobiose phosphorylase 
maccaque6_00080	CDS	486				hypothetical protein
maccaque6_00081	CDS	1140				hypothetical protein
maccaque6_00082	CDS	666				thymidylate kinase 
maccaque6_00083	CDS	2376				Endoglucanase
maccaque6_00084	CDS	2517				diguanylate phosphodiesterase
maccaque6_00085	CDS	702				Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 1
maccaque6_00086	CDS	1146				Bacterial cell division membrane protein
maccaque6_00087	CDS	1542				Mg chelatase-related protein
maccaque6_00088	tRNA	77				tRNA-Pro(cgg)
maccaque6_00089	CDS	1947				threonyl-tRNA synthetase/Ser-tRNA(Thr) hydrolase 
maccaque6_00090	CDS	1680				hypothetical protein
maccaque6_00091	CDS	642				Amidases related to nicotinamidase
maccaque6_00092	CDS	1788				Phosphoenolpyruvate carboxykinase (GTP) 
maccaque6_00093	CDS	2460				cellobiose phosphorylase 
maccaque6_00094	CDS	1008				Galactose mutarotase
maccaque6_00095	CDS	1377				Citrate synthase 
maccaque6_00096	CDS	573				GNAT family acetyltransferase 
maccaque6_00097	CDS	2427				hypothetical protein
maccaque6_00098	CDS	1491				hypothetical protein
maccaque6_00099	CDS	1056				hypothetical protein
maccaque6_00100	CDS	3324				polysaccharide lyase family 1 modular protein with two candidate pectate lyase domains
maccaque6_00101	CDS	327				hypothetical protein
maccaque6_00102	CDS	984				hypothetical protein
maccaque6_00103	CDS	864				putative of PSP1
maccaque6_00104	CDS	630				hypothetical protein
maccaque6_00105	CDS	507				16S rRNA processing protein RimM
maccaque6_00106	CDS	699				tRNA (Guanine37-N(1)-) methyltransferase 
maccaque6_00107	CDS	273				Phosphotransferase System HPr (HPr) Family protein
maccaque6_00108	CDS	1221				stage IV sporulation protein B 
maccaque6_00109	CDS	489				hypothetical protein
maccaque6_00110	CDS	393				hypothetical protein
maccaque6_00111	CDS	153				hypothetical protein
maccaque6_00112	CDS	2202				ABC transporter ATP-binding protein
maccaque6_00113	CDS	2184				ABC transporter permease
maccaque6_00114	CDS	477				hypothetical protein
maccaque6_00115	CDS	408				anti-sigma regulatory factor
maccaque6_00116	CDS	2436				HAMP/SpoIIE domain-containing protein
maccaque6_00117	CDS	297				anti-sigma F factor antagonist (stage II sporulation protein AA)
maccaque6_00118	CDS	606				Transcriptional regulator
maccaque6_00119	CDS	2823				hypothetical protein
maccaque6_00120	CDS	4467				hypothetical protein
maccaque6_00121	CDS	135				hypothetical protein
maccaque6_00122	CDS	837				ABC-type Mn2+/Zn2+ transport systems, permease components
maccaque6_00123	CDS	708				ABC-type Mn/Zn transport systems, ATPase component 
maccaque6_00124	CDS	972				periplasmic solute binding protein
maccaque6_00125	CDS	417				Fe2+/Zn2+ uptake regulation proteins
maccaque6_00126	CDS	270				hypothetical protein
maccaque6_00127	CDS	570				Peptidase family M50.
maccaque6_00128	CDS	1404				DNA repair protein RadA
maccaque6_00129	CDS	471				Peptidyl-prolyl cis-trans isomerase (rotamase)-cyclophilin family protein
maccaque6_00130	CDS	1233				RNA-binding S1 domain-containing protein
maccaque6_00131	CDS	348				hypothetical protein
maccaque6_00132	CDS	189				hypothetical protein
maccaque6_00133	CDS	1074				bacterial peptide chain release factor 1 (bRF-1)
maccaque6_00134	CDS	1017				translation factor SUA5
maccaque6_00135	CDS	672				dephospho-CoA kinase 
maccaque6_00136	CDS	1404				Aspartyl aminopeptidase 
maccaque6_00137	CDS	267				SSU ribosomal protein S15P
maccaque6_00138	CDS	2115				polyribonucleotide nucleotidyltransferase 
maccaque6_00139	CDS	2265				Transcriptional accessory protein
maccaque6_00140	CDS	468				hypothetical protein
maccaque6_00141	CDS	558				translation elongation factor P (EF-P)
maccaque6_00142	CDS	1068				peptidase M24
maccaque6_00143	CDS	432				3-dehydroquinate dehydratase 
maccaque6_00144	CDS	504				HAD superfamily (subfamily IIIA) phosphatase,
maccaque6_00145	CDS	174				30S ribosomal protein S21
maccaque6_00146	CDS	2406				leucyl-tRNA synthetase, eubacterial and mitochondrial family 
maccaque6_00147	CDS	342				hypothetical protein
maccaque6_00148	CDS	954				Glycosyltransferases involved in cell wall biogenesis
maccaque6_00149	CDS	1986				putative membrane protein
maccaque6_00150	CDS	363				iojap-related protein
